Index,Date,Open,High,Low,Close
Dow,12/29/2006,12500.48,12560.16,12423.81,12463.15
Dow,12/28/2006,12510.57,12566.17,12440.23,12501.52
Dow,12/27/2006,12463.46,12518.34,12407.62,12510.57
Dow,12/26/2006,12341.94,12439.19,12301.4,12407.63
Dow,12/22/2006,12407.87,12417.96,12341.77,12343.21
Dow,12/21/2006,12461.62,12526.59,12369.97,12421.25
Dow,12/20/2006,12471.32,12549.35,12393.45,12463.87
Dow,12/19/2006,12439.51,12517.78,12348.5,12471.32
Dow,12/18/2006,12446.24,12545.74,12372.3,12441.27
Dow,12/15/2006,12417.96,12536.37,12377.35,12445.52
Dow,12/14/2006,12317.5,12472.76,12271.44,12416.76
Dow,12/13/2006,12312.71,12411.55,12263.19,12317.5
Dow,12/12/2006,12328.24,12396.01,12222.65,12315.58
Dow,12/11/2006,12306.21,12399.54,12245.32,12328.48
Dow,12/8/2006,12256.21,12332.16,12243.31,12307.48
Dow,12/7/2006,12310.13,12396.33,12233.06,12278.41
Dow,12/6/2006,12328.72,12390.88,12239.95,12309.25
Dow,12/5/2006,12283.69,12398.57,12218.24,12331.6
Dow,12/4/2006,12195.57,12349.87,12149.27,12283.85
Dow,12/1/2006,12220.97,12289.3,12070.52,12194.13
Dow,11/30/2006,12226.73,12317.1,12118.42,12221.93
Dow,11/29/2006,12134.4,12283.05,12119.7,12226.73
Dow,11/28/2006,12095.27,12148.78,12073.4,12136.44
Dow,11/27/2006,12279.13,12303.32,12079.01,12121.71
Dow,11/24/2006,12321.71,12340.89,12219.28,12280.17
Dow,11/22/2006,12321.91,12403.54,12238.43,12326.95
Dow,11/21/2006,12312.13,12409.31,12233.94,12321.59
Dow,11/20/2006,12340.71,12400.1,12257.34,12316.54
Dow,11/17/2006,12293.49,12342.55,12278.2,12342.55
Dow,11/16/2006,12250.05,12375.37,12204,12305.82
Dow,11/15/2006,12214.37,12326.07,12156.37,12251.71
Dow,11/14/2006,12132.44,12261.15,12051.68,12218.01
Dow,11/13/2006,12084.89,12164.22,12084.89,12131.88
Dow,11/10/2006,12102.74,12173.08,12074.01,12108.43
Dow,11/9/2006,12174.7,12236.1,12039.59,12103.3
Dow,11/8/2006,12147.38,12233.54,12051.6,12176.54
Dow,11/7/2006,12104.75,12239.94,12065.2,12156.77
Dow,11/6/2006,11985.16,12146.45,11973.23,12105.55
Dow,11/3/2006,12018.3,12095.3,11928.97,11986.04
Dow,11/2/2006,12023.98,12070.25,11938.89,12018.54
Dow,11/1/2006,12080.25,12160.7,11972.99,12031.02
Dow,10/31/2006,12086.18,12160.46,11986.84,12080.73
Dow,10/30/2006,12074.01,12117.07,12050.23,12086.49
Dow,10/27/2006,12164.78,12202.72,12024.78,12090.26
Dow,10/26/2006,12134.84,12236.1,12037.99,12163.66
Dow,10/25/2006,12127.24,12212.16,12017.66,12134.68
Dow,10/24/2006,12116.51,12204.8,12028.14,12127.88
Dow,10/23/2006,12001.33,12177.35,11940.41,12116.91
Dow,10/20/2006,12013.01,12087.38,11881.34,12002.37
Dow,10/19/2006,11988.92,12082.33,11911.44,12011.73
Dow,10/18/2006,11947.62,12108.91,11900.79,11992.68
Dow,10/17/2006,11977.4,12024.54,11849.16,11950.02
Dow,10/16/2006,11957.7,11996.92,11945.7,11980.59
Dow,10/13/2006,11947.22,12009.97,11862.29,11960.51
Dow,10/12/2006,11896.63,11959.14,11852.12,11947.7
Dow,10/11/2006,11865.49,11907.6,11762.72,11852.13
Dow,10/10/2006,11857.73,11930.33,11778.09,11867.17
Dow,10/9/2006,11849.56,11923.53,11759.36,11857.81
Dow,10/6/2006,11865.49,11921.04,11743.35,11850.21
Dow,10/5/2006,11832.51,11869.33,11821.55,11866.69
Dow,10/4/2006,11722.94,11879.18,11654.02,11850.61
Dow,10/3/2006,11670.11,11794.41,11608.23,11727.34
Dow,10/2/2006,11678.99,11773.6,11608.79,11670.35
Dow,9/29/2006,11718.05,11782.49,11642.17,11679.07
Dow,9/28/2006,11689.4,11775.36,11625.92,11718.45
Dow,9/27/2006,11670.19,11775.6,11595.75,11689.24
Dow,9/26/2006,11575.73,11723.74,11517.54,11669.39
Dow,9/25/2006,11536.67,11616.23,11486,11575.81
Dow,9/22/2006,11532.91,11588.62,11423.57,11508.1
Dow,9/21/2006,11611.67,11677.39,11471.76,11533.23
Dow,9/20/2006,11542.28,11680.19,11514.5,11613.19
Dow,9/19/2006,11554.6,11605.67,11450.3,11540.91
Dow,9/18/2006,11538.35,11588.22,11528.43,11555
Dow,9/15/2006,11528.75,11661.38,11504.57,11560.77
Dow,9/14/2006,11508.82,11548.84,11495.77,11527.39
Dow,9/13/2006,11487.69,11605.59,11423.73,11543.32
Dow,9/12/2006,11412.52,11512.74,11396.83,11498.09
Dow,9/11/2006,11389.87,11468.88,11295.9,11396.84
Dow,9/8/2006,11332.24,11448.3,11295.18,11392.11
Dow,9/7/2006,11405.16,11443.66,11273.89,11331.44
Dow,9/6/2006,11421.33,11469.27,11395.15,11406.2
Dow,9/5/2006,11461.83,11533.87,11385.95,11469.28
Dow,9/1/2006,11427.41,11476.4,11381.14,11464.15
Dow,8/31/2006,11383.47,11451.03,11326.8,11381.15
Dow,8/30/2006,11365.98,11452.95,11309.99,11382.91
Dow,8/29/2006,11352.65,11432.38,11255.88,11369.94
Dow,8/28/2006,11285.33,11411.24,11240.91,11352.01
Dow,8/25/2006,11301.22,11350.09,11218.66,11284.05
Dow,8/24/2006,11297.82,11386.59,11232.83,11304.46
Dow,8/23/2006,11337.12,11394.75,11238.67,11297.9
Dow,8/22/2006,11344.41,11426.13,11279.25,11339.84
Dow,8/21/2006,11353.29,11381.46,11322.31,11345.04
Dow,8/18/2006,11333.76,11437.66,11273.49,11381.47
