Year,Population,Murder and nonnegligent Manslaughter,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft
1960,2757537,17,301,236,6375,21865,2095
1961,2779000,36,291,235,6356,21096,1940
1962,2777000,31,238,185,7326,21668,2037
1963,2780000,35,253,241,7516,22374,2265
1964,2756000,35,310,525,8004,25733,2639
1965,2760000,36,354,554,8398,26220,2889
1966,2747000,43,351,688,9245,31074,3622
1967,2753000,42,578,833,11881,34022,4273
1968,2748000,48,686,962,13027,39476,4523
1969,2781000,39,622,1079,13603,42184,4937
1970,2825041,54,804,1208,14331,49253,4945
1971,2852000,52,866,1649,15160,52528,4372
1972,2883000,50,770,1451,15037,50560,4874
1973,2904000,63,954,1624,18412,55310,5538
1974,2855000,54,1390,1724,22597,65153,6255
1975,2870000,71,1536,2135,23492,78057,6593
1976,2870000,67,1180,2259,23737,82788,5938
1977,2879000,67,1187,2585,23392,77304,6331
1978,2896000,74,1357,2943,25214,78567,6808
1979,2903000,65,1457,3417,26768,85023,7829
1980,2907804,63,1596,3751,31390,93605,7205
1981,2897000,76,1554,3896,30925,93333,6465
1982,2905000,67,1051,3538,27535,82568,5045
1983,2905000,68,1192,3637,26599,77402,4586
1984,2910000,59,1114,4233,25357,74818,4610
1985,2884000,55,1187,4501,26349,76835,4423
1986,2851000,51,1197,5099,27255,79864,4514
1987,2834000,59,1025,5132,26010,80489,4282
1988,2834000,47,1132,5654,24211,79447,4596
1989,2840000,54,1108,5942,24052,79801,4496
1990,2776755,54,1089,6668,22448,78384,4718
1991,2795000,57,1257,6580,23267,79030,4772
1992,2812000,44,1113,6131,21197,77788,4474
1993,2814000,66,1517,6890,20562,73148,5370
1994,2829000,47,1327,6874,18872,70507,5096
1995,2842000,51,1507,7894,21527,78645,6332
1996,2852000,53,1286,5871,18954,71893,5449
1997,2852000,52,1593,6617,22003,71301,6682
1998,2862000,54,1456,6678,19282,66016,5974
1999,2869000,43,1051,6160,17012,62316,5135
2000,2926324,46,1071,6003,16342,65118,5374
2001,2923179,50,1154,6012,16885,66244,5505
2002,2935840,44,1169,6378,18643,68411,5823
2003,2941976,50,1131,6198,17515,64400,5639
2004,2952904,44,1160,6513,17928,62214,5633
2005,2965524,40,1153,6657,18147,60723,5500
2006,2982085,55,1298,6274,18017,60556,5006
