Person,Voc1,Voc2,Voc3,Mem1,Mem2,Mem3,SR1,SR2,SR3
1,23,53.68,12,5,49,6,23,14,24
2,27,49,38,20,59,14,25,30,26
3,18,64,21,16,48,8,30,30,26
4,27,42,16,16,48,7,17,13,22
5,59,64,23,26,69,23,35,45,25
6,45,82,41,5,85,30,27,27,32
7,26,50,15,5,41,10,34,27,26
8,48,68,38,19,65,18,27,29,26
9,51,80,42,27,86,15,30,43,25
10,28,50,33,12,33,17,29,49,31
11,48,76,41,5,61,15,20,13,20
12,24,48,34,25,73,8,33,32,24
13,31,62,48,18,68,12,29,57,27
14,36,48,20,7,45,7,30,15,30
15,76,114,67,26,103,23,35,54,33
16,25,45,34,5,47,10,32,21,28
17,30,71.11,17,14,45,16,26,30,22
18,53,104,64,17,84,22,35,61,35
19,37,98,51,18,82,26,34,45,30
20,32,63,31,17,59.08,11,32,40,30
21,40,53,20,31,46.93,9,23,19.5,23
22,43,60,21,9,50,12,27,20,22
23,37,59,28,14,49,10,29,35,29
24,49,80,53,21,91,16,26,44,22
25,29,59,53,26,66,11,31,44,28
26,22,62,35,30,54,10,30,21,19
27,27,56,58,22,72,12,29,28,27
28,23,50,17,11,74,8,28,22,23
29,49,66,42,26,71,18,26,56,33
30,48,43,42,25,40,19,27,57,25
31,59,51,39,23,64,10,31,38,26
32,43,55,45,26,48,10,31,26,21
33,25.6,57,16,33,68,10,32,25,26
34,80,75,63,27,88,24,30,56,29
35,24,38,20,23,53,11,27,34,22
36,44,46,23,13,81,16,34,30,24
37,50,85,41,16,95,15,34,38,34
38,22,39,37,19,59,11,28,43,27
39,56,74,52,27,60,15,35,50,27
40,17,40,13,29,40.5,18,26,41,18
41,33,53,46,5,66,7,32,37,32
42,40,58,18,23,53,6,25,29,23
43,24,50,32,25,51,11,34,20,25
44,22,55,41,21,50,11,25,40,25
45,36,59,33,5,52,26,35,37,32
46,19,44,12,8,29,6,29,30,30
47,51,71,33,5,83,18,35,21,23
48,32,59,30,33,57,15,30,36,26
49,44,84,26,35,68,14,35,19,33
50,16,35,15,13,42,8,26,34,12
51,21,39,13,20,40,7,30,17,27
52,24,31,12,5,29,14,23,33,13
53,29,53,31,14,58,10,27,26,24
54,24,47,45,27,48,12,25,43,29
55,69.33,60,42,22,71,16,24,32,24
56,64,68,46,12,70,15,31,29,26
57,52.27,69.47,47,23,70,16,27,40,27
58,39,56,32,29,97,20,35,42,26
59,30,51,28,30,77,9,24,21,16
60,38,55,32,20,47,17,33,28,24
61,20,53,50,27,60,13,25,57,30
62,43,44,38,26,67,15,29,28,29
63,19,65.26,50,25,71,13,29,42,22
64,16,58,21,11,70,7,20,46,18
65,47,51,49,23,61,12,35,27,30
66,56,69,24,26,69,16,33,43,19
67,36,71.11,21,22,48,21,31,25,20
68,27.73,37,15,11,45,10,27,28,15
69,28,58,47,7,55,18,28,62,35
70,24,71,36,20,43,10,30,32,28
71,37,60,14,32,56,11,29,17,23
72,31,52,25,11,60,10,20,13,24
73,33,85,21,5,78,6,22,41,11
74,44,63,47,31.25,78,14,29,43,25
75,55,68,20,25,72,21,35,42,26
76,39,52,31,25,85.33,22,29,52,28
77,18,24,13,16,43,11,25,25,33
78,31,69,19,31,53,11,25,30,19
79,33,61.11,48,22,72.53,12,34,44,29
80,46,77,51.27,29,59,18,27,42,21
81,59,84,51,20,75,21,29,38,27
82,72,50.59,25,28,58,10,27,34,20
83,31,80,43,31,74,30,33,55,27
84,41,54,36,5,73,22,33,36,26
85,25,58,43,11,60,23,29,36,17
86,39,57,31,31,49,12,30,37,27
87,34,54,43,25,74,13,35,17,28
88,24,46,36,5,45,14,29,36,26
89,39,60,54,30,73,14,32,43,29
90,52,81,19,8,67,28,35,42,13
91,47,58,42,27,64,10,29,17,22
92,28,38,23,13,31,14,28,27,25
93,22,36,23,10,40,9,29,24,29
94,40,53,24,17,51,8,26,15,17
95,20,29,22,5,41,12,27,36,16
