Chapter,Data Set,Variable Name,Description,,,,,,,,,,,,
10,2006Stocks,Dow,Daily closing values of the Dow Jones Industrial Average ,,,,,,,,,,,,
10,2006Stocks,S&P,Daily closing values of the Standard and Poor’s 500,,,,,,,,,,,,
10,2006Stocks,Nasdaq,Daily closing values of the National Association of Securities Dealers Automated Quotations,,,,,,,,,,,,
10,2006Stocks,Date,Each buisiness day in 2006,,,,,,,,,,,,
10,2006Stock2,Index,"Identifies the Dow, S&P, and Nasdaq variables.",,,,,,,,,,,,
10,2006Stock2,Date,Each buisiness day in 2006,,,,,,,,,,,,
10,2006Stock2,Open,Daily opening values,,,,,,,,,,,,
10,2006Stock2,High,Lowest value for that given day,,,,,,,,,,,,
10,2006Stock2,Low,Highest value for that given day,,,,,,,,,,,,
10,2006Stock2,Close,Daily opening values,,,,,,,,,,,,
10,Cars,Price,Suggested Retail Price,,,,,,,,,,,,
10,Cars,LnPrice,Natural log of Price,,,,,,,,,,,,
10,Cars,Mileage,Number of miles the car has been driven,,,,,,,,,,,,
10,Cars,Cyl,"Number of cylinders: 4, 6, or 8",,,,,,,,,,,,
10,Cars,Liter,A measure of engine size,,,,,,,,,,,,
10,Cars,Buick,"1 = Buick, 0 = not Buick",,,,,,,,,,,,
10,Cars,Cadillac,"1 = Cadillac, 0 = not Cadillac",,,,,,,,,,,,
10,Cars,Chevrolet,"1 = Chevrolet, 0 = not Chevrolet",,,,,,,,,,,,
10,Cars,Pontiac,"1 = Pontiac, 0 = not Pontiac",,,,,,,,,,,,
10,Cars,SAAB,"1 = SAAB, 0 = not SAAB",,,,,,,,,,,,
10,Cars,Saturn,"1 = Saturn, 0 = not Saturn",,,,,,,,,,,,
10,Cars,Doors,"number of doors: 2, 4",,,,,,,,,,,,
10,Cars,Cruise,"1 = cruise control, 0 = no cruise control",,,,,,,,,,,,
10,Cars,Sound,"1 = upgraded speakers, 0 = standard speaker",,,,,,,,,,,,
10,Cars,Leather,"1 = leather seats, 0 = not leather seats",,,,,,,,,,,,
10,Cars,Make,"Make of the car (Buick, Cadillac, Chevrolet, Pontiac, SAAB, Saturn)",,,,,,,,,,,,
10,Cars,Model,Model of the car (specific car for each previously listed Make),,,,,,,,,,,,
10,Cars,Trim,Specific type of Model,,,,,,,,,,,,
10,Cars,Type,"Type of car (Sedan, Coupe, Hatchback, Convertible, or Wagon)",,,,,,,,,,,,
10,Corn,csr,Corn suitability rating,,,,,,,,,,,,
10,Corn,Corn Yield,Corn yield in bushels per acre,,,,,,,,,,,,
10,Corn,SoyBean Yeild,Soybean yield in bushels per acre,,,,,,,,,,,,
10,Corn,Hay Yield,Alfalfa-bromegrass in tons per acre per year,,,,,,,,,,,,
10,Corn,Grass1 Yield,"Kentucky bluegrass ( amount of forage or feed required to feed one animal unit--one cow, one horse, one mule, five sheep, or five goats--for 30 days).  ",,,,,,,,,,,,
10,Corn,Grass2 Yield,"Grasses include smooth brome, orchard grass, reed canary-grass, and tall fescue (the amount of forage or feed required to feed one animal unit--one cow, one horse, one mule, five sheep, or five goats--for 30 days).  ",,,,,,,,,,,,
10,Corn,Low Slope,The low range of incline of the surface of a soil.  It is expressed on a percentage scale based on the difference in the number of feet of rise or fall per 100 feet of horizontal distance.,,,,,,,,,,,,
10,Corn,High Slope,The high range of incline of the surface of a soil.  It is expressed on a percentage scale based on the difference in the number of feet of rise or fall per 100 feet of horizontal distance.,,,,,,,,,,,,
10,Corn,Flood Freq,"The temporary covering of soil with water from overflowing streams and runoff from adjacent slopes. NONE=0, RARE=10, OCCAS=20, FREQ=40, PONDED=50",,,,,,,,,,,,
10,Corn,Water,The average capacity of soils to hold water available for use by most plants.  It is commonly expressed as inches of water per inch of soil.  ,,,,,,,,,,,,
