studentID,numPegs,Type,Time,Hand,Type2
1,twentyone,Standard,38,Right,StandardRight
2,twentyone,Color,36,Right,ColorRight
3,twentyone,Color,42,Left,ColorLeft
4,twentyone,Standard,35,Right,StandardRight
5,twentyone,Standard,32,Left,StandardLeft
6,twentyone,Color,37,Right,ColorRight
7,twentyone,Color,38,Left,ColorLeft
8,twentyone,Standard,38,Left,StandardLeft
9,twentyone,Standard,37,Right,StandardRight
10,twentyone,Standard,36,Left,StandardLeft
11,twentyone,Color,35,Left,ColorLeft
12,twentyone,Color,40,Right,ColorRight
13,twentyone,Standard,41,Left,StandardLeft
14,twentyone,Standard,39,Left,StandardLeft
15,twentyone,Color,33,Right,ColorRight
16,twentyone,Color,40,Left,ColorLeft
17,twentyone,Color,46,Left,ColorLeft
18,twentyone,Standard,33,Right,StandardRight
19,twentyone,Color,38,Right,ColorRight
20,twentyone,Standard,31,Right,StandardRight
21,twentyone,Standard,36,Right,StandardRight
22,twentyone,Standard,37,Left,StandardLeft
23,twentyone,Color,35,Right,ColorRight
24,twentyone,Standard,33,Right,StandardRight
25,twentyone,Color,37,Left,ColorLeft
26,twentyone,Color,40,Left,ColorLeft
27,twentyone,Color,37,Right,ColorRight
28,twentyone,Standard,31,Left,StandardLeft
29,twentyone,Standard,36,Left,StandardLeft
30,twentyone,Standard,34,Right,StandardRight
31,twentyone,Color,34,Right,ColorRight
32,twentyone,Standard,33,Right,StandardRight
33,twentyone,Color,31,Right,ColorRight
34,twentyone,Color,44,Left,ColorLeft
35,twentyone,Color,39,Left,ColorLeft
36,twentyone,Standard,39,Left,StandardLeft
37,twentyone,Standard,42,Left,StandardLeft
38,twentyone,Color,41,Left,ColorLeft
39,twentyone,Color,39,Right,ColorRight
40,twentyone,Standard,30,Right,StandardRight
