Brand,Miles,,,,,,,,,,Brand,Miles
1,55,56,59,55,60,57,,,,,1,55
2,39,42,43,41,41,42,,,,,1,56
3,39,41,43,40,43,43,,,,,1,59
4,44,44,42,39,40,43,,,,,1,55
5,46,42,45,42,42,44,,,,,1,60
,,,,,,,,,,,1,57
,,,,,,,,,,,2,39
,,,,,,,,,,,2,42
,,,,,,,,,,,2,43
,,,,,,,,,,,2,41
,,,,,,,,,,,2,41
,,,,,,,,,,,2,42
,,,,,,,,,,,3,39
,,,,,,,,,,,3,41
,,,,,,,,,,,3,43
,,,,,,,,,,,3,40
,,,,,,,,,,,3,43
,,,,,,,,,,,3,43
,,,,,,,,,,,4,44
,,,,,,,,,,,4,44
,,,,,,,,,,,4,42
,,,,,,,,,,,4,39
,,,,,,,,,,,4,40
,,,,,,,,,,,4,43
,,,,,,,,,,,5,46
,,,,,,,,,,,5,42
,,,,,,,,,,,5,45
,,,,,,,,,,,5,42
,,,,,,,,,,,5,42
,,,,,,,,,,,5,44
