Movie,RottenTomatoesScore,CreativeType,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend
21,35,Contemporary,Book,35000000,81159365,24105943,Horror,PG13,123,2648,9103
"10,000 B.C.",9,Historical,Original,105000000,94784201,35867488,Action,PG13,109,3410,10518
27 Dresses,40,Contemporary,Original,30000000,76808654,27442040,Comedy,PG13,111,3057,8977
88 Minutes,5,Contemporary,Original,30000000,16930884,6957216,Horror,R,108,2168,3209
Aliens vs. Predator - Requiem,13,SciFi,Sequel,40000000,41797066,44307417,Action,R,94,2511,3853
Alvin and the Chipmunks,27,Kids Fiction,Other,70000000,217326336,44307417,Comedy,R,92,3475,12750
An American Carol,13,SciFi,Original,12000000,7001720,3656000,Comedy,PG13,83,1639,2231
Appaloosa,76,Historical,Book,20000000,20080574,248847,Action,R,115,14,17775
Atonement,82,Contemporary,Book,30000000,50921738,796836,Documentary,R,123,32,24901
Australia,54,Historical,Original,130000000,49551002,14800723,Documentary,PG13,165,2642,5602
Baby Mama,63,Contemporary,Original,30000000,60269340,17407110,Comedy,PG13,99,2543,6845
Babylon A.D.,7,SciFi,Book,70000000,22531698,11541571,Action,PG13,90,3390,3405
Bangkok Dangerous,9,Contemporary,Remake,40000000,15232982,7783266,Action,R,99,2650,2937
Be Kind Rewind,65,Contemporary,Original,20000000,11169531,4050655,Comedy,PG13,102,808,5013
Bedtime Stories,25,SciFi,Original,80000000,85539168,30327814,Comedy,PG,99,3681,7457
Beverly Hills Chihuahua,41,Contemporary,Original,20000000,94497271,29300465,Comedy,PG,91,3215,9114
Blindness,41,Contemporary,Book,25000000,3073392,1950260,Horror,R,121,1690,1154
Body of Lies,51,Contemporary,Book,70000000,39380442,12884416,Horror,R,128,2710,4754
Bolt,88,Kids Fiction,Original,150000000,114053579,26223128,Comedy,PG,96,3651,7182
Bottle Shock,47,Drama,Nonfiction,5000000,4016669,277839,Documentary,PG13,110,48,5788
Brideshead Revisited,64,Historical,Book,8300000,6432256,929427,Documentary,PG13,133,33,10291
Burn After Reading,77,Contemporary,Original,37000000,60355347,19128001,Comedy,R,96,2651,7215
Cadillac Records,68,Drama,Nonfiction,12000000,8134217,3445559,Documentary,R,109,687,5015
Changeling,61,SciFi,Original,55000000,35707327,9351560,Horror,R,141,15,32601
Charlie Bartlett,54,Contemporary,Original,55000000,3950294,1836256,Comedy,R,97,1122,1637
Charlie Wilson's War,81,Drama,Book,75000000,66636385,15952430,Documentary,R,102,2575,6195
City of Ember,51,SciFi,Book,55000000,7871693,3129473,Action,PG,90,2022,1548
Cloverfield,76,SciFi,Original,25000000,80048433,46146546,Action,PG13,85,3411,13529
College,5,Contemporary,Original,6500000,4693919,2619730,Comedy,R,94,2123,1014
College Road Trip,13,Contemporary,Original,25000000,45588608,13601419,Comedy,G,83,2706,5026
Cruising Bar 2,43,Contemporary,Sequel,5000000,"3,579,013",181089,Comedy,Not Rated,100,83,2182
Death Race,43,SciFi,Remake,45000000,36064910,12621090,Action,R,111,2532,4985
Deception,12,Contemporary,Original,25000000,4597760,2312146,Horror,R,107,2001,1155
Deep Sea 3-D,91,Drama,Nonfiction,NA,42600284,692861,Documentary,G,41,43,16284
"Definitely, Maybe",72,Contemporary,Original,7000000,31973840,11472255,Comedy,PG13,112,2204,5205
Disaster Movie,2,Contemporary,Original,25000000,14190901,6945535,Comedy,PG13,87,2642,2629
Dolphins and Whales Tribes of the Ocean 3D,80,Drama,Nonfiction,6000000,7311962,41695,Documentary,Not Rated,42,4,10424
Doomsday,48,SciFi,Original,30000000,10955425,4926565,Action,R,105,1936,2545
Doubt,77,Historical,Other,25000000,33422556,507226,Documentary,PG13,104,15,33815
Drillbit Taylor,26,Contemporary,Original,40000000,32853640,10309986,Comedy,PG13,110,3056,3374
Eagle Eye,28,Contemporary,Original,80000000,101111837,29150721,Horror,PG13,118,3510,8305
Elegy,74,Contemporary,Book,13000000,3577210,104168,Documentary,R,112,6,17361
Enchanted,92,SciFi,Original,85000000,127807262,34440317,Comedy,PG,107,3730,9233
Expelled: No Intelligence Allowed,10,Drama,Nonfiction,3500000,7598071,2970848,Documentary,PG,90,1052,2824
Fireproof,40,Contemporary,Original,500000,33451479,6804764,Documentary,PG,122,839,8111
Flash of Genius,58,Drama,Nonfiction,20000000,3744790,2251075,Documentary,PG13,119,1098,2050
Fly Me To the Moon,17,Kids Fiction,Original,25000000,14532946,1900523,Action,G,84,452,4205
Fool's Gold,10,Contemporary,Original,70000000,70224196,21589295,Action,PG13,113,3125,6909
Forgetting Sarah Marshall,84,Contemporary,Original,30000000,62877175,17725330,Comedy,R,111,2798,6335
Four Christmases,25,Contemporary,Original,80000000,120146040,31069826,Comedy,PG13,88,3310,9387
Frost/Nixon,91,Drama,Play,35000000,18593156,180708,Documentary,R,122,3,60236
Get Smart,53,Contemporary,Other,80000000,130319208,38683480,Comedy,PG13,110,3911,9891
Ghost Town,85,SciFi,Original,20000000,13214060,5012315,Comedy,PG13,102,1505,3330
Gran Torino,80,Contemporary,Original,35000000,148055047,271720,Documentary,R,116,6,45287
Hamlet 2,63,Contemporary,Original,9000000,4881867,11467,Comedy,R,92,103,4271
Hancock,40,SciFi,Original,150000000,227946274,62603879,Action,PG13,92,3965,15789
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,71,Drama,Nonfiction,7000000,65281781,31117834,Performance,G,74,683,45561
Harold & Kumar Escape from Guantanamo Bay,54,Contemporary,Sequel,12000000,38087366,14908404,Comedy,R,107,2510,5940
Hellboy 2: The Golden Army,87,SciFi,Sequel,72000000,75754670,34539115,Action,PG13,120,3204,10780
High School Musical 3: Senior Year,67,Contemporary,Sequel,11000000,90559416,42030184,Performance,G,112,3623,11601
His Dark Materials: The Golden Compass,42,SciFi,Book,205000000,63172463,3369784,Action,PG13,113,3528,7308
Horton Hears a Who,78,SciFi,Book,85000000,154529439,45012998,Action,G,86,3954,11384
How She Move,67,Contemporary,Original,17000000,7070459,3957471,Documentary,PG13,94,1531,2585
I am Legend,69,SciFi,Book,150000000,256386216,77211321,Horror,PG13,101,3606,21412
Igor,35,Kids Fiction,Original,25000000,19528602,7803347,Comedy,PG,87,2339,3336
In Bruges,80,Contemporary,Original,15000000,7757130,457227,Comedy,R,107,28,16330
In the Name of the King: A Dungeon Siege Tale,4,SciFi,Other,60000000,4535117,2984524,Action,PG13,127,1632,1829
Indiana Jones and the Kingdom of the Crystal Skull,77,Historical,Sequel,185000000,317101119,126917373,Action,PG13,122,4260,29793
Iron Man,93,SciFi,Book,140000000,318298180,102118668,Action,PG13,126,4105,24877
Jodhaa Akbar,75,Drama,Nonfiction,10000000,3440718,1602356,Documentary,Not Rated,213,100,12500
Journey to the Center of the Earth,61,SciFi,Book,45000000,101702060,21018141,Action,PG,93,2811,7477
Jumper,16,SciFi,Book,85000000,80170146,32092991,Action,PG13,88,3428,9362
Juno,93,Contemporary,Original,7500000,143492840,413869,Comedy,PG13,96,7,59124
Kit Kittredge: An American Girl,79,Historical,Other,10000000,17655201,220297,Documentary,G,101,5,44059
Kung Fu Panda,89,Kids Fiction,Original,130000000,215434591,60239130,Action,PG,92,4114,14642
Lakeview Terrace,47,Contemporary,Original,22000000,39263506,15004672,Horror,PG13,110,2464,6090
Leatherheads,52,Historical,Original,58000000,31199215,12682595,Comedy,PG13,114,2769,4580
Mad Money,23,Contemporary,Remake,22000000,20668843,9273645,Comedy,PG13,104,2470,3755
Madagascar: Escape 2 Africa,64,Kids Fiction,Sequel,150000000,179982968,63106589,Comedy,PG,89,4056,15559
Made of Honor,13,Contemporary,Original,40000000,46012734,14756850,Comedy,PG13,101,2729,5407
Mamma Mia!,53,Contemporary,Other,52000000,144130063,27751240,Performance,PG13,108,2976,9325
Marley & Me,61,Drama,Book,60000000,143153751,36367586,Comedy,PG,120,3480,10450
Max Payne,18,Contemporary,Game,35000000,40687294,1571728,Action,PG13,100,373,3783
Meet Dave,19,SciFi,Original,60000000,11802056,5251918,Comedy,PG,90,3011,1744
Meet the Browns,29,Contemporary,Other,20000000,41939392,148506,Comedy,PG13,100,2006,10011
Meet the Spartans,2,Historical,Original,30000000,38233676,18505530,Comedy,PG13,84,2605,7104
Michael Clayton,90,Contemporary,Original,25000000,49024969,719910,Documentary,R,119,15,47994
Milk,93,Drama,Nonfiction,20000000,31841299,1481155,Documentary,R,128,36,40385
Miracle at St. Anna,34,Historical,Book,45000000,7916887,3477996,Documentary,R,160,1185,2935
Mirrors,15,Contemporary,Remake,35000000,30691439,11161074,Horror,R,110,2664,4190
Mongol,87,Drama,Nonfiction,20000000,5701643,135526,Documentary,R,126,5,27065
My Best Friend's Girl,15,Contemporary,Original,40000000,18748603,8265357,Comedy,R,101,2604,3174
National Treasure: The Book of Secrets,31,Contemporary,Sequel,130000000,219961501,65444195,Action,PG,124,3832,17078
Never Back Down,24,Contemporary,Original,21000000,24848292,8603195,Action,PG13,110,2729,3153
Nick and Norah's Infinite Playlist,72,Contemporary,Book,9000000,31487293,11311751,Documentary,PG13,90,2421,4672
Nim's Island,49,SciFi,Book,37000000,48002678,13210579,Action,PG,96,3513,3760
No Country for Old Men,94,Historical,Book,25000000,74273505,1226333,Action,R,122,28,43798
One Missed Call,0,SciFi,Remake,27000000,26876529,12511473,Horror,PG13,87,2240,5585
Over Her Dead Body,15,SciFi,Original,10000000,7563670,4025115,Comedy,PG13,95,1977,2036
"P.S., I Love You",22,Contemporary,Book,30000000,53695808,9283468,Comedy,PG13,126,2454,3783
Passchendaele,36,Historical,Original,17408761,2227057,737704,Documentary,Not Rated,114,204,3201
Penelope,50,Contemporary,Original,15000000,10011274,3802144,Documentary,PG,104,1196,3179
Persepolis,96,Drama,Book,7300000,4443403,136962,Documentary,PG13,96,7,12689
Pride and Glory,34,Contemporary,Original,30000000,15709385,6262396,Documentary,R,130,2585,2423
Prom Night,9,Contemporary,Remake,18000000,43869350,20804941,Horror,PG13,88,2700,7706
Punisher: War Zone,26,SciFi,Sequel,35000000,7948159,4271451,Action,R,103,2508,1703
Quantum of Solace,64,Contemporary,Sequel,200000000,168368427,67528882,Action,PG13,106,3451,19568
Quarantine,59,Contemporary,Sequel,12000000,31691811,14211321,Horror,R,89,2461,5775
Rachel Getting Married,86,Contemporary,Original,12000000,12796277,293369,Documentary,R,113,9,32597
Rambo,37,Contemporary,Sequel,50000000,42724402,18203876,Action,R,92,2751,6617
Religulous,70,Drama,Nonfiction,2500000,12995673,3409643,Documentary,R,101,502,6792
Righteous Kill,20,Contemporary,Original,60000000,40076438,16288361,Horror,R,101,3152,5168
RocknRolla,59,Contemporary,Original,18000000,5694401,144701,Action,R,114,7,20672
Role Models,76,Contemporary,Original,28000000,67294280,19167085,Comedy,R,99,2792,6865
"Run, Fat Boy, Run",48,Contemporary,Original,10000000,5998971,2340743,Comedy,PG13,100,1133,2066
Saw V,15,Contemporary,Sequel,10800000,56729973,30053954,Horror,R,92,3060,9822
Semi-Pro,21,Historical,Original,55000000,33472850,15075114,Comedy,R,91,3121,4830
Seven Pounds,27,Contemporary,Original,55000000,69951824,14851136,Documentary,PG13,123,2758,5385
Sex and the City,50,Contemporary,Other,65000000,152647258,56848056,Comedy,R,145,3285,17305
Sex Drive,45,Contemporary,Book,19000000,8402485,792583,Comedy,R,109,2421,1490
Shine a Light,86,Drama,Nonfiction,1000000,5355376,1488081,Documentary,R,122,276,5392
Shutter,7,Contemporary,Remake,8000000,25926543,10447559,Horror,PG13,85,2753,3795
Slumdog Millionaire,93,Contemporary,Original,15000000,141319195,360018,Documentary,R,120,10,36002
Smart People,49,Contemporary,Original,7000000,9496882,4092466,Comedy,R,95,1106,3700
Soul Men,45,Contemporary,Original,40000000,12081447,5401605,Comedy,R,100,2044,2643
Space Chimps,37,Kids Fiction,Original,37000000,30105968,7181374,Action,G,81,2511,2860
Speed Racer,37,SciFi,Other,120000000,43945766,18561337,Action,PG,135,3606,5147
Star Wars: The Clone Wars,19,SciFi,Sequel,8500000,35154336,14611273,Action,PG,98,3452,4233
Step Brothers,55,Contemporary,Original,65000000,100468793,30940732,Comedy,R,98,3094,10000
Step Up 2 the Streets,26,Contemporary,Sequel,23000000,58017783,22125429,Documentary,PG13,98,2470,8958
Stop-Loss,64,Drama,Nonfiction,25000000,10911750,4555117,Documentary,R,112,1291,3528
Strange Wilderness,0,Contemporary,Original,20000000,6563357,3001719,Comedy,R,87,1208,2485
Street Kings,37,Contemporary,Original,20000000,26415649,12469631,Horror,R,109,2467,5055
Superhero Movie,15,SciFi,Original,35000000,25871834,9510297,Comedy,PG13,75,2960,3213
Sweeney Todd: The Demon Barber of Fleet Street,85,Historical,Other,50000000,52898073,13635390,Performance,R,116,1249,10917
Swing Vote,37,Contemporary,Original,21000000,16284360,6230669,Comedy,PG13,120,2213,2815
Tell No One,93,Contemporary,Book,14401656,6177192,169707,Horror,Not Rated,131,8,21213
The Bank Job,79,Drama,Nonfiction,20000000,30028592,5935256,Horror,R,111,1603,3703
The Boy in the Striped Pyjamas,65,Historical,Book,12500000,9030581,253085,Documentary,PG13,94,17,14887
The Bucket List,42,Contemporary,Original,45000000,93452056,582534,Comedy,PG13,97,16,36408
