Movie,RottenTomatoesScore,ReleaseDate,CreativeType,DistributedBy,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend,IMDB score,AcademyAwardNominations,GoogleHitsOfDirector,Rank
21,35,3/29/2008,Contemporary Fiction,Columbia Pictures,NA,35000000,81159365,24105943,Thriller/Suspense,PG-13,123,2648,9103,6.8,3,763000,33
"10,000 B.C.",9,3/7/2008,Pre-Historical Fiction,Warner Bros.,Original Screenplay,105000000,94784201,35867488,Adventure,PG-13,109,3410,10518,4.9,1,704000,27
27 Dresses,40,1/18/2008,Contemporary Fiction,FOX – Distributor,Original Screenplay,NA,76808654,27442040,Romantic Comedy,PG-13,111,3057,8977,6.1,0,596000,40
88 Minutes,5,4/18/2008,Contemporary Fiction,Sony Pictures,Original Screenplay,30000000,16930884,6957216,Thriller/Suspense,R,108,2168,3209,5.9,8,210000,129
Aliens vs. Predator - Requiem,13,4/15/2008,Science Fiction,20th Century Fox,Sequel,40000000,41797066,44307417,Action,R,94,2511,3853,4.9,0,60700,149
Alvin and the Chipmunks,27,12/14/2007,Kids Fiction,20th Century Fox,Based on Based on TV,70000000,217326336,44307417,Comedy,R,92,3475,12750,5.5,0,406000,49
An American Carol,13,10/3/2008,Fantasy,Vivendi Entertainment,Original Screenplay,12000000,7001720,3656000,Comedy,PG-13,83,1639,2231,4.6,5,294000,174
Appaloosa,76,9/19/2008,Historical Fiction,Warner Bros.,Based on Book/Short Story,20000000,20080574,248847,Western,R,115,14,17775,6.9,9,295000,120
Atonement,82,12/7/2007,Contemporary Fiction,Focus Features,Based on Book/Short Story,30000000,50921738,796836,Drama,R,123,32,24901,7.9,4,564000,80
Australia,54,11/26/2008,Historical Fiction,FOX – Distributor,Original Screenplay,130000000,49551002,14800723,Drama,PG-13,165,2642,5602,6.9,2,306000,62
Baby Mama,63,4/25/2008,Contemporary Fiction,Universal – Distributor,Original Screenplay,30000000,60269340,17407110,Comedy,PG-13,99,2543,6845,6.1,4,48300,52
Babylon A.D.,7,8/29/2008,Science Fiction,"FOX – Distributor, Production Company",Based on Book/Short Story,70000000,22531698,11541571,Action,PG-13,90,3390,3405,5.3,1,477000,116
Bangkok Dangerous,9,1/6/2009,Contemporary Fiction,Lionsqate,Remake,40000000,15232982,7783266,Action,R,99,2650,2937,5.4,2,81600,132
Be Kind Rewind,65,2/22/2008,Contemporary Fiction,New Line,Original Screenplay,20000000,11169531,4050655,Comedy,PG-13,102,808,5013,6.6,0,335000,150
Bedtime Stories,25,12/25/2008,Fantasy,Walt Disney,Original Screenplay,80000000,85539168,NA,Comedy,PG,99,3681,7457,6.2,0,479000,32
Beverly Hills Chihuahua,41,10/3/2008,Contemporary Fiction,Walt Disney,Original Screenplay,20000000,94497271,29300465,Comedy,PG,91,3215,9114,3.2,2,351000,28
Blindness,41,10/3/2008,Contemporary Fiction,Miramax,Based on Book/Short Story,25000000,3073392,NA,Thriller/Suspense,R,121,1690,1154,6.7,4,513000,209
Body of Lies,51,10/10/2008,Contemporary Fiction,Warner Bros.,Based on Book/Short Story,70000000,39380442,12884416,Thriller/Suspense,R,128,2710,4754,7.2,6,441000,76
Bolt,88,11/21/2008,Kids Fiction,Walt Disney,Original Screenplay,150000000,114053579,26223128,Comedy,PG,96,3651,7182,7.4,2,95400,20
Bottle Shock,47,8/6/2008,Dramatization,Freestyle Releasing,Based on Real life Events,NA,4016669,277839,Drama,PG-13,110,48,5788,6.8,0,81300,199
Brideshead Revisited,64,6/25/2008,Historical Fiction,Miramax,Based on Book/Short Story,8300000,6432256,NA,Drama,PG-13,133,33,10291,6.7,4,132000,177
Burn After Reading,77,9/12/2008,Contemporary Fiction,Focus Features,Original Screenplay,37000000,60355347,19128001,Comedy,R,96,2651,7215,7.3,12,259000,53
Cadillac Records,68,12/5/2008,Dramatization,Sony,Real life events,12000000,8134217,3445559,Drama,R,109,687,5015,6.7,1,61100,165
Changeling,61,10/31/2008,Fantasy,Universal – Distributor,Original Screenplay,55000000,35707327,9351560,Thriller/Suspense,R,141,15,32601,8,4,2510000,85
Charlie Bartlett,54,2/22/2008,Contemporary Fiction,MGM,Original Screenplay,NA,3950294,1836256,Comedy,R,97,1122,1637,7.2,2,31600,201
Charlie Wilson's War,81,12/21/2008,Dramatization,Universal,Based on Book/Short Story,75000000,66636385,15952430,Drama,R,102,2575,6195,7.3,13,199000,112
City of Ember,51,10/10/2008,Fantasy,FOX – Distributor,Based on Book/Short Story,55000000,7871693,3129473,Adventure,PG,90,2022,1548,6.4,2,101000,168
Cloverfield,76,1/18/2008,Science Fiction,Paramount,Original Screenplay,25000000,80048433,46146546,Action,PG-13,85,3411,13529,7.5,0,166000,36
College,5,8/29/2008,Contemporary Fiction,MGM,Original Screenplay,6500000,4693919,2619730,Comedy,R,94,2123,1014,4.3,0,113000,191
