County,Obama,MedianAge,Male,White,AverageFamilySize,BachelorsorHigher,MedianHouseholdIncome,IndividualsBelowPoverty,Population,Registered Democrat
Adair,32,41.8,49,98.9,2.89,11.2,35179,7.6,8243,14.81
Adams,14,41.9,49.2,98.9,2.91,12,30453,9.3,4482,20.09
Allamakee,41.25,39.7,50.1,95.9,3.02,14.4,33967,9.6,14675,10.64
Appanoose,16.67,40.6,47.8,98.2,2.89,12.2,28612,14.5,13721,21.69
Audubon,35.42,42.4,47.9,99.2,2.94,12.3,32215,7.7,6830,21.98
Benton,28.75,37.2,50,98.8,3.04,13.9,42427,6.1,25308,16.62
Black Hawk,42.62,34.4,48,88.4,2.97,23,37266,13.1,128012,17.42
Boone,30.71,38.6,49,98.5,2.95,18.8,40763,7.6,26224,21.24
Bremer,35,38.1,48.3,98.2,2.95,21.5,40826,5.1,23325,14.53
Buchanan,35.33,36.4,49.7,98.4,3.13,12.7,38036,9.4,21093,18.81
Buena Vista,37,36.4,50.1,88,3.08,18.7,35300,10.5,20411,11.69
Butler,29,41.3,49,99,2.9,12.4,35883,8,15305,10.24
Calhoun,30.53,42.4,49.5,98.1,2.87,15.4,33286,10.1,11115,14.13
Carroll,34.84,38.7,48.7,98.9,3.07,16,37275,6.5,21421,22.9
Cass,32,41.6,48.5,98.8,2.87,16.6,32922,11.1,14684,12.33
Cedar,40,39.2,49.4,98.5,2.96,16.3,42198,5.5,18187,15.28
Cerro Gordo,30.4,39.3,48.1,96.3,2.91,20.3,35867,8.5,46447,20.07
Cherokee,35.56,41.7,49.3,98.3,2.91,15.2,35142,7.3,13035,16.97
Chickasaw,33,39.7,50,98.7,3,12.2,37649,8.3,13095,24.01
Clarke,21.25,38.6,49.2,96.6,3.01,12.1,34474,8.5,9133,21.36
Clay,40,39.4,48.3,98.1,2.92,16.3,35799,8.2,17372,13.76
Clayton,43.33,40.2,49.4,98.9,2.98,12.8,34068,8.6,18678,18.59
Clinton,36.77,38.2,48.5,95.9,2.98,14.4,37423,10.2,50149,11.63
Crawford,25.88,38.2,50.2,93.1,3.03,12.4,33922,11.1,16942,16.52
Dallas,35,35.1,49.4,94.7,3.08,26.8,48528,5.6,40750,17.23
Davis,16.8,38.5,49.5,98.3,3.13,11.4,32864,11.9,8541,26.88
Decatur,28.42,36.4,48.9,96.5,2.96,15.1,27343,15.5,8689,20.21
Delaware,36,37.1,49.6,99.3,3.15,13,37168,7.9,18404,13.39
Des Moines,40,38.9,48.3,93.7,2.94,16,36790,10.7,42351,31.21
Dickinson,38.75,43.3,48.7,98.9,2.78,21.3,39020,6,16424,17.13
Dubuque,36.07,36.5,48.6,97.1,3.07,21.3,39582,7.8,89143,24.89
Emmet,32,39.6,48.6,97.4,2.93,13,33305,8.2,11027,19.81
Fayette,34.29,39.4,49.4,97.7,2.96,13.8,32453,10.8,22008,14.71
Floyd,31.82,40.3,48.3,98.1,2.92,14.8,"35,237",9.3,"16,900",17.61
Franklin,33.75,41.3,49.1,94.9,2.93,14.5,"36,043",8,"10,704",11.87
Fremont,29.69,41.2,48.8,98,2.93,14,"38,345",9.5,"8,010",17.08
Greene,35.38,41,48.8,98.2,2.97,14.6,"33,883",8.1,"10,366",18.71
Grundy,39.24,40.8,48.9,99,2.94,17.2,"39,396",4.6,"12,369",10.19
Guthrie,28.33,41.9,49.4,98.6,2.86,14.9,"36,495",8,"11,353",16.78
Hamilton,40,39.1,49.5,96.7,2.95,17.5,"38,658",6.3,"16,438",16.32
Hancock,30.77,39.7,49.2,97.7,3.01,15.4,"37,703",6,"12,100",13.41
Hardin,36.8,40.6,48.9,97.1,2.91,17.1,"35,429",8,"18,812",15.51
Harrison,26.67,38.9,49.1,98.7,3.02,12.7,"38,141",7.1,"15,666",17.02
Henry,39.09,37.1,50.6,94.8,2.89,16.2,"39,807",8.8,"20,336",13.11
Howard,27.69,39.5,49.2,99.1,3.03,12.6,"34,641",9.3,"9,932",20.48
Humboldt,28.89,41.3,48.9,98.6,2.94,15.4,"38,201",8.3,"10,381",13.46
Ida,33.33,41.5,48.4,99,2.95,13.6,"34,805",8.8,"7,837",13.36
Iowa,40,38.8,48.7,98.7,3.03,15.8,"41,222",5,"15,671",14.39
Jackson,58.93,39.1,49.3,99,2.47,12.1,"34,529",10.3,"20,296",30.5
Jasper,26.67,38.5,50.4,97.6,2.92,15.9,"41,683",6.5,"37,213",24.02
Jefferson,45.45,41.1,48.9,96,2.93,31.2,"33,851",10.9,"16,181",12.08
Johnson,53.12,28.4,49.8,90.1,2.97,47.6,"40,060",15,"111,006",25.22
Jones,53.25,38.5,52.2,96.7,2.95,12.7,"37,449",8.6,"20,221",17.04
Keokuk,24.62,40,48.5,99,2.99,11.6,"34,025",10.1,"11,400",19.64
Kossuth,36.15,41.3,48.8,98.8,2.98,13.6,"34,562",10.2,"17,163",24.93
Lee,32.26,39.5,49.5,94.2,2.93,12.5,"36,193",9.7,"38,052",26.25
Linn,42.6,35.2,49,93.9,2.99,27.7,"46,206",6.5,"191,701",17.42
Louisa,32.65,35.9,49.7,93.9,3.11,12.7,"39,086",9.3,"12,183",14.05
Lucas,20.29,39.9,48.6,98.4,2.98,11.1,"30,876",13.7,"9,422",16.07
