Soda,Tilt,Temp,Fizz
Pepsi,Untipped,Cold,3.7
Pepsi,Untipped,Room temp,3.1
Pepsi,Tipped,Cold,0.4
Pepsi,Tipped,Room temp,0.6
7-up,Untipped,Cold,0.9
7-up,Untipped,Room temp,0.3
7-up,Tipped,Cold,0.1
7-up,Tipped,Room temp,0.2
Pepsi,Untipped,Cold,4.1
Pepsi,Untipped,Room temp,4.8
Pepsi,Tipped,Cold,0.1
Pepsi,Tipped,Room temp,0.3
7-up,Untipped,Cold,0.3
7-up,Untipped,Room temp,0.6
7-up,Tipped,Cold,0.1
7-up,Tipped,Room temp,0.1
Pepsi,Untipped,Cold,1.5
Pepsi,Untipped,Room temp,1.4
Pepsi,Tipped,Cold,0.2
Pepsi,Tipped,Room temp,0.3
7-up,Untipped,Cold,1.6
7-up,Untipped,Room temp,0.4
7-up,Tipped,Cold,0.1
7-up,Tipped,Room temp,0.2
