studentID,numPegs,toBeMatched,Time,Division
1,eighteen,both,32,Non-Science
1,eighteen,both,30,Non-Science
1,eighteen,distract,27,Non-Science
1,eighteen,distract,34,Non-Science
1,fifteen,both,26,Non-Science
1,fifteen,both,23,Non-Science
1,fifteen,distract,23,Non-Science
1,fifteen,distract,27,Non-Science
2,eighteen,both,24,Science
2,eighteen,both,30,Science
2,eighteen,distract,30,Science
2,eighteen,distract,32,Science
2,fifteen,both,23,Science
2,fifteen,both,18,Science
2,fifteen,distract,26,Science
2,fifteen,distract,30,Science
3,eighteen,both,23,Science
3,eighteen,both,24,Science
3,eighteen,distract,26,Science
3,eighteen,distract,29,Science
3,fifteen,both,21,Science
3,fifteen,both,20,Science
3,fifteen,distract,24,Science
3,fifteen,distract,26,Science
4,eighteen,both,26,Science
4,eighteen,both,24,Science
4,eighteen,distract,30,Science
4,eighteen,distract,47,Science
4,fifteen,both,21,Science
4,fifteen,both,21,Science
4,fifteen,distract,23,Science
4,fifteen,distract,23,Science
5,eighteen,both,24,Non-Science
5,eighteen,both,27,Non-Science
5,eighteen,distract,29,Non-Science
5,eighteen,distract,36,Non-Science
5,fifteen,both,24,Non-Science
5,fifteen,both,23,Non-Science
5,fifteen,distract,23,Non-Science
5,fifteen,distract,24,Non-Science
6,eighteen,both,25,Non-Science
6,eighteen,both,32,Non-Science
6,eighteen,distract,31,Non-Science
6,eighteen,distract,32,Non-Science
6,fifteen,both,21,Non-Science
6,fifteen,both,22,Non-Science
6,fifteen,distract,24,Non-Science
6,fifteen,distract,29,Non-Science
7,eighteen,both,20,Non-Science
7,eighteen,both,23,Non-Science
7,eighteen,distract,22,Non-Science
7,eighteen,distract,23,Non-Science
7,fifteen,both,17,Non-Science
7,fifteen,both,18,Non-Science
7,fifteen,distract,16,Non-Science
7,fifteen,distract,22,Non-Science
8,eighteen,both,23,Science
8,eighteen,both,22,Science
8,eighteen,distract,23,Science
8,eighteen,distract,27,Science
8,fifteen,both,22,Science
8,fifteen,both,19,Science
8,fifteen,distract,20,Science
8,fifteen,distract,21,Science
9,eighteen,both,25,Science
9,eighteen,both,26,Science
9,eighteen,distract,25,Science
9,eighteen,distract,33,Science
9,fifteen,both,19,Science
9,fifteen,both,22,Science
9,fifteen,distract,24,Science
9,fifteen,distract,30,Science
10,eighteen,both,26,Non-Science
10,eighteen,both,25,Non-Science
10,eighteen,distract,27,Non-Science
10,eighteen,distract,24,Non-Science
10,fifteen,both,18,Non-Science
10,fifteen,both,19,Non-Science
10,fifteen,distract,22,Non-Science
10,fifteen,distract,19,Non-Science
11,eighteen,both,23,Science
11,eighteen,both,22,Science
11,eighteen,distract,23,Science
11,eighteen,distract,23,Science
11,fifteen,both,17,Science
11,fifteen,both,18,Science
11,fifteen,distract,20,Science
11,fifteen,distract,22,Science
12,eighteen,both,27,Non-Science
12,eighteen,both,36,Non-Science
12,eighteen,distract,39,Non-Science
12,eighteen,distract,41,Non-Science
12,fifteen,both,22,Non-Science
12,fifteen,both,30,Non-Science
12,fifteen,distract,34,Non-Science
12,fifteen,distract,38,Non-Science
13,eighteen,both,23,Non-Science
13,eighteen,both,24,Non-Science
13,eighteen,distract,28,Non-Science
13,eighteen,distract,29,Non-Science
13,fifteen,both,23,Non-Science
13,fifteen,both,22,Non-Science
13,fifteen,distract,23,Non-Science
13,fifteen,distract,28,Non-Science
14,eighteen,both,24,Science
14,eighteen,both,25,Science
14,eighteen,distract,30,Science
14,eighteen,distract,27,Science
14,fifteen,both,25,Science
14,fifteen,both,21,Science
14,fifteen,distract,29,Science
14,fifteen,distract,23,Science
15,eighteen,both,23,Non-Science
15,eighteen,both,27,Non-Science
15,eighteen,distract,23,Non-Science
15,eighteen,distract,25,Non-Science
15,fifteen,both,19,Non-Science
15,fifteen,both,18,Non-Science
15,fifteen,distract,24,Non-Science
15,fifteen,distract,27,Non-Science
16,eighteen,both,21,Science
16,eighteen,both,25,Science
16,eighteen,distract,29,Science
16,eighteen,distract,29,Science
16,fifteen,both,20,Science
16,fifteen,both,21,Science
16,fifteen,distract,21,Science
16,fifteen,distract,22,Science
