Person,Cookie,Ingredient,Time,Rating
1,CC,Butter,Short,8
2,CC,Butter,Short,7
3,CC,Butter,Short,9
4,CC,Butter,Short,6
5,CC,Butter,Short,9
6,CC,Butter,Short,7
7,CC,Butter,Short,3
8,CC,Butter,Short,9
9,CC,Butter,Short,7
10,CC,Butter,Short,5
11,CC,Butter,Short,9
12,CC,Butter,Short,7
1,CC,Butter,Long,7
2,CC,Butter,Long,7
3,CC,Butter,Long,9
4,CC,Butter,Long,6
5,CC,Butter,Long,9
6,CC,Butter,Long,8
7,CC,Butter,Long,4
8,CC,Butter,Long,9
9,CC,Butter,Long,6
10,CC,Butter,Long,7
11,CC,Butter,Long,9
12,CC,Butter,Long,6
1,CC,Margerine,Short,7
2,CC,Margerine,Short,8
3,CC,Margerine,Short,9
4,CC,Margerine,Short,8
5,CC,Margerine,Short,10
6,CC,Margerine,Short,8
7,CC,Margerine,Short,4
8,CC,Margerine,Short,9
9,CC,Margerine,Short,8
10,CC,Margerine,Short,6
11,CC,Margerine,Short,10
12,CC,Margerine,Short,8
1,CC,Margerine,Long,7
2,CC,Margerine,Long,8
3,CC,Margerine,Long,10
4,CC,Margerine,Long,7
5,CC,Margerine,Long,9
6,CC,Margerine,Long,9
7,CC,Margerine,Long,4
8,CC,Margerine,Long,8
9,CC,Margerine,Long,7
10,CC,Margerine,Long,9
11,CC,Margerine,Long,10
12,CC,Margerine,Long,7
1,CC,Crisco,Short,5
2,CC,Crisco,Short,9
3,CC,Crisco,Short,9
4,CC,Crisco,Short,9
5,CC,Crisco,Short,8
6,CC,Crisco,Short,7
7,CC,Crisco,Short,3
8,CC,Crisco,Short,9
9,CC,Crisco,Short,7
10,CC,Crisco,Short,8
11,CC,Crisco,Short,9
12,CC,Crisco,Short,9
1,CC,Crisco,Long,7
2,CC,Crisco,Long,7
3,CC,Crisco,Long,9
4,CC,Crisco,Long,8
5,CC,Crisco,Long,6
6,CC,Crisco,Long,6
7,CC,Crisco,Long,2
8,CC,Crisco,Long,9
9,CC,Crisco,Long,7
10,CC,Crisco,Long,5
11,CC,Crisco,Long,10
12,CC,Crisco,Long,8
1,GS,Butter,Short,4
2,GS,Butter,Short,6
3,GS,Butter,Short,8
4,GS,Butter,Short,6
5,GS,Butter,Short,7
6,GS,Butter,Short,7
7,GS,Butter,Short,6
8,GS,Butter,Short,10
9,GS,Butter,Short,8
10,GS,Butter,Short,7
11,GS,Butter,Short,9
12,GS,Butter,Short,8
1,GS,Butter,Long,5
2,GS,Butter,Long,7
3,GS,Butter,Long,7
4,GS,Butter,Long,8
5,GS,Butter,Long,8
6,GS,Butter,Long,7
7,GS,Butter,Long,7
8,GS,Butter,Long,9
9,GS,Butter,Long,9
10,GS,Butter,Long,9
11,GS,Butter,Long,7
12,GS,Butter,Long,7
1,GS,Margerine,Short,7
2,GS,Margerine,Short,8
3,GS,Margerine,Short,8
4,GS,Margerine,Short,7
5,GS,Margerine,Short,6
6,GS,Margerine,Short,8
7,GS,Margerine,Short,7
8,GS,Margerine,Short,9
9,GS,Margerine,Short,8
10,GS,Margerine,Short,8
11,GS,Margerine,Short,8
12,GS,Margerine,Short,9
1,GS,Margerine,Long,7
2,GS,Margerine,Long,8
3,GS,Margerine,Long,7
4,GS,Margerine,Long,7
5,GS,Margerine,Long,6
6,GS,Margerine,Long,7
7,GS,Margerine,Long,7
8,GS,Margerine,Long,10
9,GS,Margerine,Long,8
10,GS,Margerine,Long,9
11,GS,Margerine,Long,7
12,GS,Margerine,Long,9
1,GS,Crisco,Short,8
2,GS,Crisco,Short,9
3,GS,Crisco,Short,8
4,GS,Crisco,Short,8
5,GS,Crisco,Short,7
6,GS,Crisco,Short,9
7,GS,Crisco,Short,8
8,GS,Crisco,Short,10
9,GS,Crisco,Short,9
10,GS,Crisco,Short,9
11,GS,Crisco,Short,9
12,GS,Crisco,Short,8
1,GS,Crisco,Long,10
2,GS,Crisco,Long,8
3,GS,Crisco,Long,8
4,GS,Crisco,Long,6
5,GS,Crisco,Long,7
6,GS,Crisco,Long,10
7,GS,Crisco,Long,5
8,GS,Crisco,Long,10
9,GS,Crisco,Long,10
10,GS,Crisco,Long,8
11,GS,Crisco,Long,8
12,GS,Crisco,Long,10
