Replication,Hybrid,Nit. Rate,Yield bushelsperacre,Plot
1,P3747,0,130,1
1,P3732,0,125,1
1,Mol1xA634,0,110,1
1,A632xLH38,0,115,1
1,LH74xLH51,0,115,1
1,P3747,70,150,2
1,P3732,70,150,2
1,Mol1xA634,70,140,2
1,A632xLH38,70,140,2
1,LH74xLH51,70,170,2
1,P3747,140,170,3
1,P3732,140,160,3
1,Mol1xA634,140,155,3
1,A632xLH38,140,160,3
1,LH74xLH51,140,160,3
1,P3747,210,165,4
1,P3732,210,165,4
1,Mol1xA634,210,150,4
1,A632xLH38,210,140,4
1,LH74xLH51,210,170,4
2,P3747,0,135,5
2,P3732,0,150,5
2,Mol1xA634,0,135,5
2,A632xLH38,0,130,5
2,LH74xLH51,0,145,5
2,P3747,70,170,6
2,P3732,70,160,6
2,Mol1xA634,70,155,6
2,A632xLH38,70,150,6
2,LH74xLH51,70,180,6
2,P3747,140,190,7
2,P3732,140,180,7
2,Mol1xA634,140,165,7
2,A632xLH38,140,175,7
2,LH74xLH51,140,195,7
2,P3747,210,185,8
2,P3732,210,200,8
2,Mol1xA634,210,175,8
2,A632xLH38,210,170,8
2,LH74xLH51,210,200,8
