Subject,Experience,Football,Goals,Proportion
1,Exp,S,10,0.5
1,Exp,L,16,0.8
2,Exp,S,16,0.8
2,Exp,L,17,0.85
3,Inexp,S,5,0.25
3,Inexp,L,5,0.25
4,Inexp,S,3,0.15
4,Inexp,L,3,0.15
5,Exp,S,12,0.6
5,Exp,L,9,0.45
6,Inexp,S,4,0.2
6,Inexp,L,0,0
7,Inexp,S,6,0.3
7,Inexp,L,9,0.45
8,Exp,S,12,0.6
8,Exp,L,15,0.75
9,Exp,S,11,0.55
9,Exp,L,13,0.65
10,Exp,S,17,0.85
10,Exp,L,16,0.8
11,Exp,S,15,0.75
11,Exp,L,13,0.65
12,Inexp,S,7,0.35
12,Inexp,L,6,0.3
13,Inexp,S,8,0.4
13,Inexp,L,7,0.35
14,Inexp,S,5,0.25
14,Inexp,L,2,0.1
15,Exp,S,8,0.4
15,Exp,L,6,0.3
16,Inexp,S,4,0.2
16,Inexp,L,9,0.45
17,Exp,S,12,0.6
17,Exp,L,11,0.55
18,Inexp,S,9,0.45
18,Inexp,L,8,0.4
