Infant,MotherRnk,HandlRnk,Passive,Unsuccessful,Successful,Hand.Name,Pass.Act,Hand.ID
1,1,1,0,0,0,KN,0,2
1,1,1,4,0,0,NQ,4,3
1,1,1,1,0,0,PO,1,4
1,1,2,0,1,0,HQ,1,5
1,1,2,0,0,0,LL,0,6
1,1,2,0,0,0,NY,0,7
1,1,2,0,0,0,PS,0,8
1,1,2,0,0,3,SK,3,9
1,1,2,1,0,0,ST,1,10
1,1,2,0,0,0,WK,0,11
1,1,3,0,0,0,AL,0,12
1,1,3,0,0,0,CO,0,13
1,1,3,0,0,0,DD,0,14
1,1,3,0,0,0,LS,0,15
1,1,3,0,0,0,LY,0,16
1,1,3,0,0,0,MH,0,17
1,1,3,0,0,0,ML,0,18
1,1,3,0,0,0,MM,0,19
1,1,3,0,0,0,PA,0,20
1,1,3,0,0,0,PH,0,21
1,1,3,0,0,2,PT,2,22
1,1,3,1,0,0,RS,1,23
2,2,1,2,4,7,KM,13,1
2,2,1,8,10,5,KN,23,2
2,2,1,4,3,0,NQ,7,3
2,2,1,2,3,0,PO,5,4
2,2,2,0,2,0,LL,2,6
2,2,2,1,0,0,NY,1,7
2,2,2,1,0,0,PS,1,8
2,2,2,3,2,0,SK,5,9
2,2,2,3,2,1,ST,6,10
2,2,2,9,7,2,WK,18,11
2,2,3,1,0,0,AL,1,12
2,2,3,6,0,0,CO,6,13
2,2,3,3,0,0,DD,3,14
2,2,3,0,0,0,LS,0,15
2,2,3,0,1,0,LY,1,16
2,2,3,0,2,2,MH,4,17
2,2,3,0,0,1,ML,1,18
2,2,3,0,0,0,MM,0,19
2,2,3,4,3,2,PA,9,20
2,2,3,0,0,0,PH,0,21
2,2,3,4,3,3,PT,10,22
2,2,3,0,1,0,RS,1,23
3,2,1,0,2,2,KM,4,1
3,2,1,0,0,0,KN,0,2
3,2,1,1,0,0,NQ,1,3
3,2,1,2,1,1,PO,4,4
3,2,2,1,1,1,HQ,3,5
3,2,2,1,1,0,NY,2,7
3,2,2,1,0,0,PS,1,8
3,2,2,1,0,0,SK,1,9
3,2,2,3,2,0,ST,5,10
3,2,2,3,0,0,WK,3,11
3,2,3,1,0,0,AL,1,12
3,2,3,0,0,0,CO,0,13
3,2,3,0,0,0,DD,0,14
3,2,3,0,1,0,LS,1,15
3,2,3,0,0,0,LY,0,16
3,2,3,0,0,2,MH,2,17
3,2,3,0,1,0,ML,1,18
3,2,3,0,0,1,MM,1,19
3,2,3,1,0,0,PA,1,20
3,2,3,0,0,0,PH,0,21
3,2,3,0,0,1,PT,1,22
3,2,3,6,0,0,RS,6,23
4,2,1,5,5,2,KM,12,1
4,2,1,4,0,0,KN,4,2
4,2,1,6,4,0,NQ,10,3
4,2,1,2,3,0,PO,5,4
4,2,2,7,2,0,HQ,9,5
4,2,2,0,0,1,LL,1,6
4,2,2,2,0,0,PS,2,8
4,2,2,2,0,1,SK,3,9
4,2,2,7,4,0,ST,11,10
4,2,2,5,2,0,WK,7,11
4,2,3,7,1,0,AL,8,12
4,2,3,3,1,2,CO,6,13
4,2,3,2,0,1,DD,3,14
4,2,3,0,0,1,LS,1,15
4,2,3,0,0,0,LY,0,16
4,2,3,1,0,1,MH,2,17
4,2,3,0,1,0,ML,1,18
4,2,3,0,0,1,MM,1,19
4,2,3,3,2,0,PA,5,20
4,2,3,1,1,1,PH,3,21
4,2,3,1,0,1,PT,2,22
4,2,3,1,1,1,RS,3,23
5,2,1,0,0,1,KM,1,1
5,2,1,2,0,1,KN,3,2
