Name,Gender 1= Male,Age,1= Survived,Family Group Size,,,Only Age Over 14,Gender 1= Male,Age,1=Survived,Family Group Size
Antonio,1,23,0,1,,,Antonio,1,23,0,1
"Breen, Edward",1,13,1,9,,,"Breen, Mary",0,40,1,9
"Breen, Isabella",0,1,1,9,,,"Breen, Patrick",1,40,1,9
"Breen, James",1,4,1,9,,,"Burger, Charles",1,30,0,1
"Breen, John",1,14,1,9,,,"Denton, John",1,28,0,1
"Breen, Mary",0,40,1,9,,,"Dolan, Patrick",1,40,0,1
"Breen, Patrick",1,40,1,9,,,"Donner, Elizabeth",0,45,0,16
"Breen, Patrick, Jr.",1,11,1,9,,,"Donner, George",1,62,0,16
"Breen, Peter",1,7,1,9,,,"Donner, Jacob",1,65,0,16
"Breen, Simon",1,9,1,9,,,"Donner, Tamsen",0,45,0,16
"Burger, Charles",1,30,0,1,,,"Eddy, Eleanor",0,25,0,4
"Denton, John",1,28,0,1,,,"Eddy, William",1,28,1,4
"Dolan, Patrick",1,40,0,1,,,"Elliott, Milton",1,28,0,1
"Donner, Elitha",0,14,1,16,,,"Fosdick, Jay",1,23,0,12
"Donner, Eliza",0,3,1,16,,,"Fosdick, Sarah",0,22,1,12
"Donner, Elizabeth",0,45,0,16,,,"Foster, Sarah",0,23,1,13
"Donner, Frances",0,6,1,16,,,"Foster, William",1,28,1,13
"Donner, George",1,62,0,16,,,"Graves, Eleanor",0,15,1,12
"Donner, George",1,9,1,16,,,"Graves, Elizabeth",0,47,0,12
"Donner, Georgia",0,4,1,16,,,"Graves, Franklin.",1,57,0,12
"Donner, Isaac",1,5,0,16,,,"Graves, Mary",0,20,1,12
"Donner, Jacob",1,65,0,16,,,"Graves, William",1,18,1,12
"Donner, Leanna",0,12,1,16,,,"Halloran, Luke",1,25,0,1
"Donner, Lewis",1,3,0,16,,,"Hardkoop, Mr.",1,60,0,1
"Donner, Mary",0,7,1,16,,,"Herron, William",1,25,1,1
"Donner, Samuel",1,4,0,16,,,"James, Noah",1,20,1,1
"Donner, Tamsen",0,45,0,16,,,"Keseberg, Lewis",1,32,1,4
"Eddy, Eleanor",0,25,0,4,,,"Keseberg, Philippine",0,32,1,4
"Eddy, James",1,3,0,4,,,"McCutchen, Amanda",0,24,1,3
