Movie,Year,Actor in a Leading Role,Actress in a Leading Role,Actor in a Supporting Role,Actress in a Supporting Role,Art Direction,Cinematography,Costume Design,Directing,Film Editing,Makeup,Original Score,Original Song,Sound Editing,Sound Mixing,Visual Effects,Adapted Screenplay,Original Screenplay,Best Picture
Avatar,2009,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
TheBlindSide,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrazyHeart,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TheHurtLocker,2009,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1
InglouriousBasterds,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious,2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
StarTrek,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Up,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TheYoungVictoria,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TheCuriousCaseofBenjaminButton,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
TheDarkKnight,2008,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TheDuchess,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Milk,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TheReader,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlumdogMillionaire,2008,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1
VickyCristinaBarcelona,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atonement,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TheBourneUltimatum,2007,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Elizabeth:TheGoldenAge,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TheGoldenCompass,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Juno,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LaVieenRose,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MichaelClayton,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NoCountryforOldMen,2007,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Once,2007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SweeneyTodd,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ThereWillBeBlood,2007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Babel,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TheDeparted,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
Dreamgirls,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AnInconvenientTruth,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TheLastKingofScotland,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LettersfromIwoJima,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LittleMissSunshine,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MarieAntoinette,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pan'sLabyrinth,2006,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
PiratesoftheCaribbean:DeadMan'sChest,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TheQueen,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrokebackMountain,2005,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Capote,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheChroniclesofNarnia,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TheConstantGardener,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash,2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Hustle&Flow,2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KingKong,2005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
MemoirsofaGeisha,2005,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Syriana,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WalktheLine,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
