Age,Censor,Gender
15,1,2
20,1,1
17,1,1
16,1,2
18,1,2
14,1,2
35,0,2
15,1,2
13,1,1
18,1,2
15,1,1
15,1,2
8,1,2
17,1,1
12,1,1
15,1,1
12,1,1
17,1,2
17,1,1
17,1,1
16,1,2
12,1,1
18,1,2
16,1,1
18,1,2
15,1,1
12,1,2
15,1,1
15,1,2
15,1,1
8,1,1
18,1,2
20,1,2
16,1,1
34,1,1
16,1,2
20,1,1
33,0,2
15,0,2
15,1,2
21,1,2
15,1,1
15,1,1
14,1,1
15,1,1
21,1,2
22,1,2
32,1,2
17,1,2
16,1,1
16,1,2
16,1,2
18,1,2
16,1,1
17,1,2
18,1,1
46,1,2
18,1,1
15,1,1
18,1,1
21,1,2
16,1,1
21,0,2
17,1,1
19,1,2
15,1,2
8,1,1
12,1,1
14,1,1
18,1,1
18,1,2
26,1,2
18,1,2
15,1,2
12,1,1
14,1,2
14,1,2
37,0,1
17,1,2
15,1,1
21,1,2
16,1,1
14,1,2
16,1,1
22,1,1
13,1,1
18,1,2
25,1,1
15,1,2
16,1,1
12,1,1
16,1,1
17,1,2
23,0,1
16,1,2
40,0,2
24,0,2
16,1,2
14,1,2
12,1,1
18,1,1
20,1,2
16,1,1
13,1,1
14,1,2
8,1,2
16,1,2
21,1,2
17,1,1
16,1,2
19,1,2
40,1,2
15,1,1
16,1,2
16,1,2
17,1,1
14,1,1
15,1,2
17,1,1
15,1,1
16,1,1
14,1,1
10,1,1
43,0,1
15,1,1
19,1,1
18,1,2
14,1,1
18,0,1
16,1,2
30,0,2
16,1,1
14,1,2
21,1,2
14,1,1
12,1,2
11,1,2
17,1,1
26,1,2
18,1,2
16,1,2
15,1,1
12,1,1
12,1,2
16,1,2
22,1,2
17,1,2
18,1,2
13,1,1
15,1,1
15,1,2
10,1,1
21,1,2
30,1,2
18,0,1
13,1,1
15,0,2
14,1,2
15,1,1
13,1,2
17,1,2
25,1,2
19,1,2
15,1,2
14,1,1
17,1,1
13,1,1
14,1,1
15,1,1
21,1,2
9,1,1
18,1,1
17,1,2
17,1,2
14,1,1
16,1,1
9,1,1
7,1,1
13,1,2
21,1,2
15,1,2
17,1,1
12,1,2
18,1,1
18,1,2
14,1,2
14,1,1
18,1,2
17,0,2
24,1,2
7,1,2
15,1,1
8,1,1
16,1,1
13,1,2
17,1,1
19,1,1
19,1,2
16,1,1
15,1,2
16,1,2
21,1,2
14,1,1
21,1,1
5,1,1
15,1,1
15,1,2
19,1,2
15,1,2
17,1,1
16,1,2
16,1,1
18,1,1
18,1,2
19,1,1
15,1,2
28,1,2
18,1,1
23,1,2
14,1,1
18,1,2
13,1,2
19,1,2
15,1,1
9,1,2
19,1,1
28,1,2
16,1,2
18,1,2
33,1,2
21,1,2
17,1,1
21,0,2
19,1,1
20,1,2
19,1,2
20,0,2
15,1,2
23,1,2
16,1,2
19,0,1
21,1,1
17,1,1
15,1,2
19,1,2
42,0,2
14,1,1
16,1,1
18,1,1
17,1,2
21,1,1
18,1,2
30,1,2
15,1,1
12,1,1
13,1,2
15,1,1
15,1,1
14,1,1
11,1,2
12,1,1
14,1,2
18,1,1
12,1,1
16,1,2
14,1,2
21,1,2
16,1,2
15,1,2
17,1,1
16,1,1
12,1,1
16,1,2
16,1,2
17,1,1
21,1,2
19,1,1
18,1,2
18,1,2
18,1,2
12,1,2
17,1,1
21,1,1
16,1,2
13,1,1
49,0,2
13,1,2
16,1,2
15,0,2
54,0,2
14,1,1
16,1,2
12,1,2
16,1,1
16,1,2
25,1,2
16,1,1
17,1,2
5,1,2
14,1,1
16,1,1
9,1,1
11,1,2
34,0,1
5,1,1
17,1,2
22,1,2
15,1,1
21,1,2
17,1,1
14,1,1
18,1,1
18,1,1
25,1,1
18,1,2
15,1,1
15,1,1
24,0,1
20,1,2
13,1,2
19,1,2
13,1,1
11,1,2
2,1,2
17,1,1
17,1,1
13,1,2
16,1,1
23,1,2
13,1,2
1,1,1
14,1,2
10,1,2
21,1,2
13,1,2
18,1,2
14,1,1
12,1,2
13,1,1
32,0,2
21,1,2
18,1,2
18,1,2
18,1,1
16,1,1
12,1,1
20,1,1
10,1,1
18,1,1
53,0,2
22,1,2
10,1,1
15,1,1
34,0,1
17,1,2
15,1,1
6,1,1
17,1,2
15,1,2
16,1,1
14,1,1
6,1,1
21,1,1
14,1,2
18,1,1
15,1,1
14,1,1
14,1,1
15,0,1
18,1,2
20,1,2
6,1,1
16,1,1
17,1,2
15,1,1
20,1,1
28,1,1
15,1,1
15,1,1
16,1,1
18,1,1
19,1,2
