Price,Make,Sound,Leather
18566,Pontiac,1,1
23197,Pontiac,1,1
20110,Pontiac,1,1
22105,Pontiac,1,1
20628,Pontiac,1,1
15793,Pontiac,1,1
21282,Pontiac,1,1
19567,Pontiac,1,1
19410,Chevrolet,1,1
18728,Chevrolet,1,1
15952,Chevrolet,1,1
15833,Chevrolet,1,1
25097,Chevrolet,1,1
22894,Chevrolet,1,1
22121,Chevrolet,1,1
17458,Chevrolet,1,1
16300,Chevrolet,1,1
17316,Chevrolet,1,1
17313,Chevrolet,1,1
16537,Chevrolet,1,1
17463,Chevrolet,1,1
16753,Chevrolet,1,1
15665,Chevrolet,1,1
30957,Cadillac,1,1
30782,Cadillac,1,1
30792,Cadillac,1,1
29275,Cadillac,1,1
40967,Cadillac,1,1
36634,Cadillac,1,1
34974,Cadillac,1,1
17314,Buick,1,1
19924,Buick,1,1
18543,Buick,1,1
23786,Buick,1,1
21058,Buick,1,1
21341,Buick,1,1
20099,Buick,1,1
21646,Buick,1,1
19642,Buick,1,1
21698,Buick,1,1
21537,Buick,1,1
