Year,Emissions 
Pre 1963,2351
Pre 1963,1293
Pre 1963,541
Pre 1963,1058
Pre 1963,411
Pre 1963,570
Pre 1963,800
Pre 1963,630
Pre 1963,905
Pre 1963,347
1963-1967,620
1963-1967,940
1963-1967,350
1963-1967,700
1963-1967,1150
1963-1967,2000
1963-1967,823
1963-1967,1058
1963-1967,423
1963-1967,270
1963-1967,900
1963-1967,405
1963-1967,780
1968-1969,1088
1968-1969,388
1968-1969,111
1968-1969,558
1968-1969,295
1968-1969,211
1968-1969,460
1968-1969,470
1968-1969,353
1968-1969,71
1968-1969,241
1968-1969,2999
1968-1969,199
1968-1969,188
1968-1969,353
1968-1969,117
1970-1971,141
1970-1971,359
1970-1971,247
1970-1971,940
1970-1971,882
1970-1971,494
1970-1971,306
1970-1971,200
1970-1971,100
1970-1971,300
1970-1971,190
1970-1971,140
1970-1971,880
1970-1971,200
1970-1971,223
1970-1971,188
1970-1971,435
1970-1971,940
1970-1971,241
1970-1971,223
1972-1974,140
1972-1974,160
1972-1974,20
1972-1974,20
1972-1974,223
1972-1974,60
1972-1974,20
1972-1974,95
1972-1974,360
1972-1974,70
1972-1974,220
1972-1974,400
1972-1974,217
1972-1974,58
1972-1974,235
1972-1974,1880
1972-1974,200
1972-1974,175
1972-1974,85
