Team,Position,Name, Salary ,Rank
Pittsburgh Pirates,Catcher,"Ross, David",338500,1
Los Angeles Dodgers,Catcher,"Phillips, Jason",339000,2
Milwaukee Brewers,Pitcher,"Obermueller, Wes",342000,3
Houston Astros,Pitcher,"Backe, Brandon",350000,4
Atlanta Braves,Catcher,"Perez, Eddie",625000,5
Atlanta Braves,Pitcher,"Sosa, Jorge",650000,6
Washington Nationals,Catcher,"Bennett, Gary",750000,7
Pittsburgh Pirates,Catcher,"Santiago, Benito",2150000,8
Atlanta Braves,Pitcher,"Thomson, John",4250000,9
Cincinnati Reds,First Baseman,"Casey, Sean",7800000,10
Arizona Diamondbacks,First Baseman,"Green, Shawn",7833333,11
San Diego Padres,First Baseman,"Nevin, Phil",9625000,12
New York Mets,Pitcher,"Glavine, Tom",10765608,13
Colorado Rockies,First Baseman,"Helton, Todd",12600000,14
Philadelphia Phillies,First Baseman,"Thome, Jim",13166667,15
