Date,Wal-mart,Target,McDonalds,IBM,Intel,Coca-Cola,"Pepsico, Inc.",Ford Motor Company,Toyota Motor Company,Apple,GE,Casey's General Stores,Amazon.com Inc.,Microsoft,Nike Inc.,"Under Armour, Inc.",Chipotle,Best Buy Inc.,Cheesecake Factory Inc.,Wendy's/Arby's Group,Starbuck's Inc.,Hertz Global Holdings Inc. (Rental Cars),Dollar Thrifty Automotive Group Inc.,Delta Airlines Inc.,Southwest Airlines Co.
1/4/2010,54.23,48.55,62.78,132.45,20.88,53.59,61.24,10.28,85.08,214.01,15.45,31.79,133.9,30.95,65.35,28.08,87.84,40.19,21.83,4.65,23.05,11.88,25.75,11.22,11.18
1/5/2010,53.69,48.73,62.3,130.85,20.87,52.24,61.98,10.96,83.77,214.38,15.53,30.93,134.69,30.96,65.61,28.92,89.02,41.21,21.67,4.57,23.59,11.77,26.88,12.1,11.77
1/6/2010,53.57,49.66,61.45,130,20.8,52.45,61.36,11.37,84.84,210.97,15.45,30.83,132.25,30.77,65.21,29.56,87.32,40.89,21.09,4.4,23.42,11.62,26.85,12.11,11.42
1/7/2010,53.6,50.27,61.9,129.55,20.6,51.73,60.97,11.66,83.79,210.58,16.25,30.71,130,30.45,65.85,29.21,86.43,41.54,21.42,4.5,23.36,11.65,26.86,12.69,11.59
1/8/2010,53.33,50.07,61.84,130.85,20.83,51.5,60.77,11.69,85.76,211.98,16.6,30.56,133.52,30.66,65.72,29.15,91.89,39.91,21.42,4.51,23.28,12.18,27.99,12.47,11.33
1/11/2010,54.21,50.18,62.32,129.48,20.95,51.33,60.7,12.11,86.2,210.11,16.76,31.12,130.31,30.27,64.91,29.09,96.77,39.23,21.26,4.43,23.21,12.11,27.58,12.79,11.46
1/12/2010,54.73,49.34,62.66,130.51,20.61,50.75,61.55,11.87,89.5,207.72,16.77,31.28,127.35,30.07,64.82,28.96,95.42,39.26,22.49,4.42,22.82,11.74,26.89,12.54,11.33
1/13/2010,55.01,49.34,62.59,130.23,20.96,52.44,62.05,11.68,89.19,210.65,16.83,31.03,129.11,30.35,65.4,29,95.64,39.73,22.43,4.6,23.38,11.71,27.55,12.85,11.53
1/14/2010,54.21,50.1,62.65,132.31,21.48,52.05,62.8,11.76,90.93,209.43,16.7,30.76,127.35,30.96,64.99,28.9,99.42,39.35,22.8,4.67,23.55,12.14,28.47,13.17,11.46
1/15/2010,53.68,50.17,62.28,131.78,20.8,50.99,62.29,11.6,91.14,205.93,16.44,30.68,127.14,30.86,64.39,27.99,98.06,38.93,22.45,4.65,23.27,12.07,27.75,12.74,11.28
1/19/2010,54.03,51.2,63.48,134.14,21.05,51.27,62.33,11.75,91.78,215.04,16.54,31.65,127.61,31.1,64.71,27.14,99.5,39.1,22.58,4.74,23.58,11.97,27.22,13.03,11.3
1/20/2010,53.86,50.72,63.01,130.25,21.08,50.8,61.95,11.51,89.37,211.73,16.5,31.72,125.78,30.59,64.18,26.68,97.85,38.77,22.66,4.69,23.29,11.71,26.65,13.41,11.33
1/21/2010,52.92,50.22,63.2,129,20.84,50,60.94,11.18,90.42,208.07,16.02,31.28,126.62,30.01,63.64,27.34,100.06,38.17,22.38,4.64,23.68,11.49,25.95,13.44,11.68
1/22/2010,52.94,50.38,63.39,125.5,19.91,49.59,60.39,10.52,88.17,197.75,16.11,31.07,121.43,28.96,62.98,26.63,97.77,37.15,21.28,4.8,22.91,11.03,24.79,13.29,11.68
1/25/2010,52.88,50.77,63.09,126.12,20.32,50.19,60.23,11.03,87.71,203.07,16.37,31.06,120.31,29.32,63.67,26.54,95.85,37.53,21.18,4.59,22.4,10.87,24.22,13.33,11.32
1/26/2010,53.61,52.02,63.81,125.75,20,48.71,60.25,11.19,86.78,205.94,16.35,30.71,119.48,29.5,63.74,27.42,97.5,37.06,21.24,4.55,22.54,10.74,23.94,13.15,11.61
1/27/2010,53.4,51.96,63.73,126.33,20.24,51.5,60.29,11.55,79.77,207.88,16.3,30.91,122.75,29.67,64,27.91,98.44,36.92,20.94,4.56,22.41,11.01,25.28,13.16,11.39
1/28/2010,52.61,51.91,62.83,123.75,19.92,50.64,59.74,11.41,77.67,199.29,16.16,30.87,126.03,29.16,63.52,26.25,98.62,36.35,21.06,4.64,22.08,10.59,25.68,12.65,11.45
1/29/2010,53.43,51.27,62.43,122.39,19.4,50.47,59.62,10.84,77,192.06,16.08,30.68,125.41,28.18,63.75,25.4,96.46,36.65,21.14,4.61,21.79,10.36,24.36,12.23,11.33
2/1/2010,53.48,51.09,63.89,124.67,19.61,50.79,60.7,11.12,79.94,194.73,16.25,30.73,118.87,28.41,64.1,25.97,100.38,36.76,22.05,4.63,22.23,10.74,25.51,12.63,11.57
2/2/2010,53.49,50.82,64.03,125.53,19.91,50.5,61.15,11.39,78.18,195.86,16.85,30.5,118.12,28.46,63.93,26.8,100.85,37.28,21.95,4.64,22.45,10.65,25.36,12.9,11.55
2/3/2010,54.27,50.6,65.21,125.66,19.68,50.23,61.29,11.64,73.49,199.23,16.68,30.24,119.1,28.63,64,25.88,100.38,37.03,21.78,4.64,22.43,10.57,25.17,12.42,11.47
2/4/2010,52.97,49.07,64.06,123,19.02,48.5,59.64,11.06,71.78,192.05,16.04,29.39,115.94,27.84,62.09,24.45,98.51,35.59,21.17,4.54,21.81,10.13,23.84,11.46,11.03
2/5/2010,53.45,49.3,63.37,123.52,19.47,49.12,59.51,10.91,74.71,195.46,15.79,29.5,117.39,28.02,61.7,24.44,95.2,35.82,21.26,4.53,21.7,10.02,24.25,11.3,11.29
2/8/2010,52.93,48.78,62.92,121.88,19.35,49.48,58.96,10.97,72.85,194.12,15.6,29.04,116.83,27.72,61.3,23.94,99.92,35.47,21.34,4.47,21.91,9.85,24.98,11.25,11.25
2/9/2010,53.25,49.14,63.57,123.21,19.65,50.52,60.05,11.15,74.6,196.19,15.6,29.63,118.03,28.01,62.51,24.85,100.65,35.98,21.64,4.52,22.19,10.27,25.86,12.39,11.65
2/10/2010,53.24,48.95,63.25,122.81,19.69,50.54,60.38,10.94,75.69,195.12,15.69,29.31,117.36,27.99,62.64,24.54,99.51,35.4,22.2,4.72,22.37,10.36,26.01,11.58,11.54
2/11/2010,53.08,49.16,63.79,123.73,20.06,51.49,61.19,11.18,76,198.67,15.77,30.01,120.09,28.12,62.95,25.33,101.12,35.65,22.66,4.75,22.56,10.61,26.96,11.83,11.88
