Price,LnPrice,Mileage,Cyl,Liter,Buick,Cadillac,Chevrolet,Pontiac,SAAB,Saturn,Doors,Cruise,Sound,Leather,Make,Model,Trim,Type
17314.10313,9.759276658,8221,6,3.1,1,0,0,0,0,0,4,1,1,1,Buick,Century,Sedan 4D,Sedan
17542.03608,9.772355341,9135,6,3.1,1,0,0,0,0,0,4,1,1,0,Buick,Century,Sedan 4D,Sedan
16218.84786,9.693929293,13196,6,3.1,1,0,0,0,0,0,4,1,1,0,Buick,Century,Sedan 4D,Sedan
16336.91314,9.701182436,16342,6,3.1,1,0,0,0,0,0,4,1,0,0,Buick,Century,Sedan 4D,Sedan
16339.17032,9.701320591,19832,6,3.1,1,0,0,0,0,0,4,1,0,1,Buick,Century,Sedan 4D,Sedan
15709.05282,9.661992438,22236,6,3.1,1,0,0,0,0,0,4,1,1,0,Buick,Century,Sedan 4D,Sedan
15230.00339,9.631022668,22576,6,3.1,1,0,0,0,0,0,4,1,1,0,Buick,Century,Sedan 4D,Sedan
15048.04218,9.619003174,22964,6,3.1,1,0,0,0,0,0,4,1,1,0,Buick,Century,Sedan 4D,Sedan
14862.09387,9.606569215,24021,6,3.1,1,0,0,0,0,0,4,1,0,1,Buick,Century,Sedan 4D,Sedan
15295.01827,9.635282451,27325,6,3.1,1,0,0,0,0,0,4,1,1,1,Buick,Century,Sedan 4D,Sedan
21335.85248,9.968144152,10237,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CX Sedan 4D,Sedan
20538.08751,9.930036369,15066,6,3.6,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CX Sedan 4D,Sedan
20512.09409,9.928769947,16633,6,3.6,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CX Sedan 4D,Sedan
19924.15905,9.899688297,19800,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CX Sedan 4D,Sedan
19774.24907,9.892135818,23359,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CX Sedan 4D,Sedan
19344.16554,9.87014613,23765,6,3.6,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CX Sedan 4D,Sedan
19105.13012,9.857712171,24008,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CX Sedan 4D,Sedan
18543.42705,9.827870668,26034,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CX Sedan 4D,Sedan
17808.199,9.787414248,32896,6,3.6,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CX Sedan 4D,Sedan
17968.83828,9.79639433,34665,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CX Sedan 4D,Sedan
22358.87768,10.01497873,8970,6,3.6,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CXL Sedan 4D,Sedan
23785.92253,10.07684919,10577,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXL Sedan 4D,Sedan
22926.09037,10.04003086,14363,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXL Sedan 4D,Sedan
21895.75878,9.994048234,16508,6,3.6,1,0,0,0,0,0,4,1,0,1,Buick,Lacrosse,CXL Sedan 4D,Sedan
21273.06171,9.965196843,18908,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXL Sedan 4D,Sedan
21460.01395,9.973946666,19467,6,3.6,1,0,0,0,0,0,4,1,0,1,Buick,Lacrosse,CXL Sedan 4D,Sedan
21183.12359,9.960960086,21394,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXL Sedan 4D,Sedan
20406.0995,9.92358913,22596,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXL Sedan 4D,Sedan
21058.13958,9.955042443,24469,6,3.6,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXL Sedan 4D,Sedan
19556.89932,9.88108341,25245,6,3.6,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXL Sedan 4D,Sedan
23447.68656,10.06252711,15755,6,3.8,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CXS Sedan 4D,Sedan
23547.23944,10.06676387,16235,6,3.8,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CXS Sedan 4D,Sedan
23016.00801,10.04394525,18147,6,3.8,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXS Sedan 4D,Sedan
22230.0275,10.00919924,22102,6,3.8,1,0,0,0,0,0,4,1,0,1,Buick,Lacrosse,CXS Sedan 4D,Sedan
22625.07357,10.02681402,23612,6,3.8,1,0,0,0,0,0,4,1,0,1,Buick,Lacrosse,CXS Sedan 4D,Sedan
21799.1721,9.989627271,24439,6,3.8,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXS Sedan 4D,Sedan
21341.25721,9.968397436,25212,6,3.8,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXS Sedan 4D,Sedan
21683.03146,9.984285273,26779,6,3.8,1,0,0,0,0,0,4,1,1,0,Buick,Lacrosse,CXS Sedan 4D,Sedan
20986.01602,9.951611591,27096,6,3.8,1,0,0,0,0,0,4,1,0,0,Buick,Lacrosse,CXS Sedan 4D,Sedan
20902.10379,9.947605093,29649,6,3.8,1,0,0,0,0,0,4,1,1,1,Buick,Lacrosse,CXS Sedan 4D,Sedan
20698.07708,9.93779608,2992,6,3.8,1,0,0,0,0,0,4,1,0,1,Buick,Lesabre,Custom Sedan 4D,Sedan
20099.25684,9.90843812,10036,6,3.8,1,0,0,0,0,0,4,1,1,1,Buick,Lesabre,Custom Sedan 4D,Sedan
