,Exam1,Exam2,Project1,Labs,HW,Quiz,FinalExam,FinalProject,,
Student 1,24,29,9.5,88,166,35,62,50,,57.975
Student 2,48,42,9,81,319,44,78,48,,81.35
Student 3,31,37,9.5,50,163,42,56,41,,53.475
Student 4,36,38,9.5,32,163,42,59,39,,52.775
Student 5,35,39,7,31,100,18,42,42,,42.25
Student 6,47,40,9.5,88,316,44,74,45,,79.925
Student 7,43,40,8.5,80,349,42,78,47,,82.875
Student 8,41,36,7,84,328,50,72,50,,80
Student 9,37,39,9,81,334,40,76,48,,80.15
Student 10,39,43,8,74,345,40,85,41,,81.8
Student 11,43,44,9,82,339,46,82,48,,83.9
Student 12,36,44,9,86,389,48,79,45,,87.15
Student 13,41,48,8,90,385,46,96,50,,92.75
Student 14,38,43,7.5,63,297,40,78,46,,75.325
Student 15,43,40,8.5,61,302,48,40,42,,67.975
Student 16,48,48,7,91,384,48,99,50,,94.45
Student 17,40,46,7,86,352,40,75,47,,83.45
Student 18,46,42,8,64,345,46,71,45,,80
Student 19,43,41,8,68,293,50,76,45,,75.8
Student 20,38,42,8.5,63,285,44,75,42,,72.825
Student 21,45,45,8,88,351,44,94,50,,88.8
Student 22,43,44,8,78,309,33,79,46,,78.8
Student 23,46,40,7.5,64,223,42,60,46,,65.275
Student 24,48,46,9,86,354,46,82,45,,86.25
Student 25,43,47,7,86,384,48,96,47,,91.85
Student 26,43,41,8,79,293,40,66,41,,73.6
Student 27,33,48,7,91,389,46,81,50,,89
Student 28,42,42,8,84,352,50,84,47,,85.3
Student 29,31,36,8,83,318,44,78,47,,77.75
Student 30,41,44,8,89,316,46,78,47,,80.95
Student 31,26,42,8.5,67,287,46,63,42,,69.325
Student 32,48,48,9.5,91,389,50,99,50,,95.175
