Year,emission
Pre63,2351
Pre64,1293
Pre65,541
Pre66,1058
Pre67,411
Pre68,570
Pre69,800
Pre70,630
Pre71,905
Pre72,347
Yr63to67,620
Yr63to68,940
Yr63to69,350
Yr63to70,700
Yr63to71,1150
Yr63to72,2000
Yr63to73,823
Yr63to74,1058
Yr63to75,423
Yr63to76,900
Yr63to77,405
Yr63to78,780
Yr63to79,270
Yr68to69,1088
Yr68to70,388
Yr68to71,111
Yr68to72,558
Yr68to73,294
Yr68to74,211
Yr68to75,460
Yr68to76,470
Yr68to77,353
Yr68to78,71
Yr68to79,241
Yr68to80,2999
Yr68to81,199
Yr68to82,188
Yr68to83,353
Yr68to84,117
Yr70to71,141
Yr70to72,359
Yr70to73,247
Yr70to74,940
Yr70to75,882
Yr70to76,494
Yr70to77,306
Yr70to78,200
Yr70to79,100
Yr70to80,300
Yr70to81,223
Yr70to82,190
Yr70to83,140
Yr70to84,880
Yr70to85,200
Yr70to86,223
Yr70to87,188
Yr70to88,435
Yr70to89,940
Yr70to90,241
Yr72to74,140
Yr72to75,160
Yr72to76,20
Yr72to77,20
Yr72to78,223
Yr72to79,60
Yr72to80,20
Yr72to81,95
Yr72to82,360
Yr72to83,70
Yr72to84,220
Yr72to85,400
Yr72to86,217
Yr72to87,58
Yr72to88,235
Yr72to89,1880
Yr72to90,200
Yr72to91,175
Yr72to92,85
