Judge,PercentWomen
Spock,16
Spock,18
Spock,14
Spock,6
Spock,18
Spock,15
Spock,15
Spock,9
Spock,24
JudgeA,40
JudgeA,30
JudgeA,16
JudgeA,35
JudgeA,50
JudgeB,36
JudgeB,32
JudgeB,32
JudgeB,27
JudgeB,29
JudgeB,45
JudgeC,34
JudgeC,30
JudgeC,32
JudgeC,29
JudgeC,24
JudgeC,28
JudgeC,20
JudgeC,35
JudgeD,24
JudgeD,30
JudgeE,33
JudgeE,36
JudgeE,28
JudgeE,20
JudgeE,18
JudgeE,22
JudgeE,40
JudgeF,22
JudgeF,21
JudgeF,31
JudgeF,27
JudgeF,17
JudgeF,29
JudgeF,26
JudgeF,29
JudgeF,34
