Normal,Largest 5 Doubled,Smallest 5 Doubled
5.3697,5.3697,10.7394
6.408362944,6.408362944,12.81672589
6.420622053,6.420622053,12.84124411
7.166245328,7.166245328,14.33249066
7.199946237,7.199946237,14.39989247
7.321878167,7.321878167,7.321878167
7.668383429,7.668383429,7.668383429
7.681379442,7.681379442,7.681379442
7.716209279,7.716209279,7.716209279
7.922097429,7.922097429,7.922097429
8.168044635,8.168044635,8.168044635
8.419485769,8.419485769,8.419485769
8.545671664,8.545671664,8.545671664
8.718969375,8.718969375,8.718969375
9.029037063,9.029037063,9.029037063
9.051455189,9.051455189,9.051455189
9.112944226,9.112944226,9.112944226
9.374370059,9.374370059,9.374370059
9.564565519,9.564565519,9.564565519
9.618659544,9.618659544,9.618659544
10.19519159,20.39038318,10.19519159
10.37079016,20.74158032,10.37079016
11.19753339,22.39506677,11.19753339
11.58693339,23.17386678,11.58693339
11.99366787,23.98733574,11.99366787
