Mileage,Price,Make,Model,Trim,Type,Cyl,Liter,Doors,Cruise,Sound,Leather
2464,14894.98259,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
11322,14198.09246,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
11488,14678.10533,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
14630,13167.70232,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
18910,13471.00508,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
25048,12573.89994,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
25069,12383.40281,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
25862,13230.91867,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
36855,11080.51638,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
39946,11328.95887,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
8427,14222.3054,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
8615,14266.91258,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
16958,14255.74768,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
18040,13762.90145,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
18533,14275.12764,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
18766,13688.00011,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
20043,13308.83375,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
20512,14145.88099,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
21684,12944.93875,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
27560,12846.06159,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
4922,14061.12277,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
14311,13072.84163,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
19816,11699.03392,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
21492,12257.16409,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
21525,11574.17381,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
24163,11539.04853,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
25014,12243.06062,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
25727,11671.85813,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
29410,11464.62886,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
38866,10546.78275,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
