Side Temp,Adhesive,Bottom Temp,Bottom Pressure,Supplier,Coating,Leaks
70,No,80,1120,Royal,No,76
70,No,80,1120,Imperial,No,40
70,Yes,80,1000,Royal,No,54
70,Yes,80,1000,Imperial,No,0
70,No,80,1000,Royal,Yes,79
70,No,80,1000,Imperial,Yes,11
70,Yes,80,1120,Royal,Yes,43
70,Yes,80,1120,Imperial,Yes,0
90,No,80,1000,Royal,No,65
90,No,80,1000,Imperial,No,13
90,Yes,80,1120,Royal,No,7
90,Yes,80,1120,Imperial,No,12
90,No,80,1120,Royal,Yes,35
90,No,80,1120,Imperial,Yes,7
90,Yes,80,1000,Royal,Yes,5
90,Yes,80,1000,Imperial,Yes,8
70,No,94,1000,Royal,No,50
70,No,94,1000,Imperial,No,26
70,Yes,94,1120,Royal,No,49
70,Yes,94,1120,Imperial,No,1
70,No,94,1120,Royal,Yes,81
70,No,94,1120,Imperial,Yes,10
70,Yes,94,1000,Royal,Yes,51
70,Yes,94,1000,Imperial,Yes,1
90,No,94,1120,Royal,No,6
90,No,94,1120,Imperial,No,9
90,Yes,94,1000,Royal,No,16
90,Yes,94,1000,Imperial,No,5
90,No,94,1000,Royal,Yes,24
90,No,94,1000,Imperial,Yes,20
90,Yes,94,1120,Royal,Yes,21
90,Yes,94,1120,Imperial,Yes,6
