Movie,Total Gross,Genre,Rating
21,81159365,Thriller/Suspense, PG-13
"10,000 B.C.",94784201,Adventure, PG-13
27 Dresses,76808654,Romantic Comedy, PG-13
88 Minutes,16930884,Thriller/Suspense, R
Aliens vs. Predator - Requiem,41797066,Action, R
Alvin and the Chipmunks,217326336,Comedy,G
An American Carol,7013191,Comedy, PG-13
Appaloosa,20080574,Western, R
Atonement,37979097,Drama, R
Australia,46686713,Drama, PG-13
Baby Mama,60494212,Comedy, PG-13
Babylon A.D.,22532572,Action, PG-13
Bangkok Dangerous,15279680,Action, R
Be Kind Rewind,11175164,Comedy, PG-13
Bedtime Stories,85539168,Comedy, PG
Beverly Hills Chihuahua,93778953,Comedy, PG
Blindness,3073392,Thriller/Suspense, R
Body of Lies,39315385,Thriller/Suspense, R
Bolt,109917145,Comedy, PG
Bottle Shock,4048523,Drama, PG-13
Brideshead Revisited,6432256,Drama, PG-13
Burn After Reading,60355347,Black Comedy, R
Cadillac Records,8134217,Drama, R
Changeling,35707327,Thriller/Suspense, R
Charlie Bartlett,3950294,Comedy, R
Charlie Wilson's War,24957785,Drama, R
City of Ember,7862312,Adventure, PG
Cloverfield,80048433,Action, PG-13
College,4694491,Comedy, R
College Road Trip,45610425,Comedy, G
Cruising Bar 2,3554434,Comedy, Not Rated
Death Race,36316032,Action, R
Deception,4598506,Thriller/Suspense, R
Deep Sea 3-D,3550091,Documentary, G
"Definitely, Maybe",32241649,Romantic Comedy, PG-13
Disaster Movie,14190901,Comedy, PG-13
Dolphins and Whales Tribes of the Ocean 3D,5243604,Documentary, Not Rated
Doomsday,11008770,Action, R
Doubt,18705481,Drama, PG-13
Drillbit Taylor,32862104,Comedy, PG-13
Eagle Eye,101401695,Thriller/Suspense, PG-13
Elegy,3577210,Drama, R
Enchanted,13793851,Romantic Comedy, PG
Expelled: No Intelligence Allowed,7720487,Documentary, PG
Fireproof,33256544,Drama, PG
First Sunday,37931869,Comedy, PG-13
Flash of Genius,4442377,Drama, PG-13
