Brand,Microwave,Time,Unpopped (percent),PopRate
Fastco,Lounge,105,17.4,82.6
Fastco,Lounge,105,12.5,87.5
Fastco,Lounge,105,24.7,75.3
Fastco,Lounge,105,19.8,80.2
Fastco,Room,105,26.2,73.8
Fastco,Room,105,22.4,77.6
Fastco,Room,105,11.5,88.5
Fastco,Room,105,16.44,83.5554
Fastco,Lounge,135,18.93,81.0667
Fastco,Lounge,135,9.2,90.8
Fastco,Lounge,135,15.94,84.0557
Fastco,Lounge,135,28.5,71.5
Fastco,Room,135,18.66,81.3438
Fastco,Room,135,7.4,92.6
Fastco,Room,135,25.7,74.3
Fastco,Room,135,16.64,83.3595
Pop Secret,Lounge,105,22.3,77.7
Pop Secret,Lounge,105,27.46,72.5396
Pop Secret,Lounge,105,34.02,65.981
Pop Secret,Lounge,105,27.44,72.5604
Pop Secret,Room,105,25.49,74.5098
Pop Secret,Room,105,19.17,80.8333
Pop Secret,Room,105,11.03,88.9696
Pop Secret,Room,105,29.56,70.443
Pop Secret,Lounge,135,8.59,91.4104
Pop Secret,Lounge,135,16.22,83.7791
Pop Secret,Lounge,135,20.3,79.7
Pop Secret,Lounge,135,9.95,90.0467
Pop Secret,Room,135,21.29,78.7096
Pop Secret,Room,135,9.44,90.5557
Pop Secret,Room,135,5.72,94.278
Pop Secret,Room,135,17.1,82.9
