Cleanser,CFU Before,CFU After,Groups
Antibacterial Soap,5,22,Low
Antibacterial Soap,26,11,Low
Antibacterial Soap,51,47,Low
Antibacterial Soap,85,252,Med
Antibacterial Soap,110,242,Med
Antibacterial Soap,253,87,High
Antibacterial Soap,685,263,High
Antibacterial Soap,699,57,High
Antibacterial Soap,1496,397,High
Antibacterial Soap,2015,1012,High
Hand Sanitizer,5,4,Low
Hand Sanitizer,8,9,Low
Hand Sanitizer,22,36,Low
Hand Sanitizer,42,21,Low
Hand Sanitizer,45,3,Low
Hand Sanitizer,83,20,Med
Hand Sanitizer,84,7,Med
Hand Sanitizer,124,9,Med
Hand Sanitizer,148,17,Med
Hand Sanitizer,1748,214,High
Regular Soap,24,312,Low
Regular Soap,42,3,Low
Regular Soap,71,17,Med
Regular Soap,112,1718,Med
Regular Soap,129,1135,Med
Regular Soap,139,103,Med
Regular Soap,184,14,High
Regular Soap,203,13,High
Regular Soap,341,102,High
Regular Soap,1427,611,High
