Speed,Accuracy,Player,Trial,Racquet
61,124,Player1,Trial 1,B
68,135,Player1,Trial 1,A
66,64,Player1,Trial 1,C
58,144,Player1,Trial 2,B
65,127,Player1,Trial 2,A
65,158,Player1,Trial 2,C
70,154,Player1,Trial 3,B
68,53,Player1,Trial 3,A
58,156,Player1,Trial 3,C
69,160,Player1,Trial 4,B
52,58,Player1,Trial 4,A
60,143,Player1,Trial 4,C
65,54,Player1,Trial 5,B
69,124,Player1,Trial 5,A
65,119,Player1,Trial 5,C
64,146,Player1,Trial 6,B
66,113,Player1,Trial 6,A
68,139,Player1,Trial 6,C
59,175,Player1,Trial 7,B
66,85,Player1,Trial 7,A
64,144,Player1,Trial 7,C
62,82,Player1,Trial 8,B
64,160,Player1,Trial 8,A
64,84,Player1,Trial 8,C
66,174,Player1,Trial 9,B
65,149,Player1,Trial 9,A
51,95,Player1,Trial 9,C
67,110,Player1,Trial 10,B
55,,Player1,Trial 10,A
68,138,Player1,Trial 10,C
108,144,Player2,Trial 1,A
114,46,Player2,Trial 1,B
104,190,Player2,Trial 1,C
95,197,Player2,Trial 2,A
111,150,Player2,Trial 2,B
117,132,Player2,Trial 2,C
107,178,Player2,Trial 3,A
107,40,Player2,Trial 3,B
108,,Player2,Trial 3,C
112,120,Player2,Trial 4,A
112,260,Player2,Trial 4,B
113,260,Player2,Trial 4,C
115,107,Player2,Trial 5,A
119,49,Player2,Trial 5,B
103,250,Player2,Trial 5,C
111,142,Player2,Trial 6,A
114,252,Player2,Trial 6,B
110,29,Player2,Trial 6,C
108,186,Player2,Trial 7,A
114,70,Player2,Trial 7,B
100,,Player2,Trial 7,C
101,168,Player2,Trial 8,A
112,62,Player2,Trial 8,B
109,104,Player2,Trial 8,C
92,182,Player2,Trial 9,A
100,122,Player2,Trial 9,B
109,53,Player2,Trial 9,C
98,,Player2,Trial 10,A
93,45,Player2,Trial 10,B
104,152,Player2,Trial 10,C
106,124,Player3,Trial 1,A
102,242,Player3,Trial 1,C
103,74,Player3,Trial 1,B
106,,Player3,Trial 2,A
109,146,Player3,Trial 2,C
122,77,Player3,Trial 2,B
107,128,Player3,Trial 3,A
102,174,Player3,Trial 3,C
115,86,Player3,Trial 3,B
112,36,Player3,Trial 4,A
112,,Player3,Trial 4,C
120,114,Player3,Trial 4,B
111,150,Player3,Trial 5,A
108,86,Player3,Trial 5,C
95,142,Player3,Trial 5,B
96,,Player3,Trial 6,A
109,160,Player3,Trial 6,C
116,104,Player3,Trial 6,B
94,53,Player3,Trial 7,A
118,132,Player3,Trial 7,C
118,76,Player3,Trial 7,B
112,95,Player3,Trial 8,A
106,97,Player3,Trial 8,C
117,160,Player3,Trial 8,B
110,100,Player3,Trial 9,A
100,296,Player3,Trial 9,C
116,49,Player3,Trial 9,B
107,146,Player3,Trial 10,A
111,105,Player3,Trial 10,C
114,230,Player3,Trial 10,B
52,,Player4,Trial 1,B
55,,Player4,Trial 1,A
59,89,Player4,Trial 1,C
56,30,Player4,Trial 2,B
60,,Player4,Trial 2,A
63,86,Player4,Trial 2,C
44,241,Player4,Trial 3,B
43,,Player4,Trial 3,A
55,64,Player4,Trial 3,C
61,289,Player4,Trial 4,B
50,,Player4,Trial 4,A
43,179,Player4,Trial 4,C
54,,Player4,Trial 5,B
54,165,Player4,Trial 5,A
63,88,Player4,Trial 5,C
49,,Player4,Trial 6,B
54,88,Player4,Trial 6,A
41,175,Player4,Trial 6,C
60,,Player4,Trial 7,B
55,46,Player4,Trial 7,A
61,159,Player4,Trial 7,C
57,,Player4,Trial 8,B
60,,Player4,Trial 8,A
46,144,Player4,Trial 8,C
56,212,Player4,Trial 9,B
42,69,Player4,Trial 9,A
60,209,Player4,Trial 9,C
53,,Player4,Trial 10,B
58,141,Player4,Trial 10,A
55,111,Player4,Trial 10,C
71,145,Player5,Trial 1,C
73,85,Player5,Trial 1,A
72,240,Player5,Trial 1,B
69,173,Player5,Trial 2,C
70,220,Player5,Trial 2,A
73,209,Player5,Trial 2,B
72,238,Player5,Trial 3,C
72,164,Player5,Trial 3,A
72,270,Player5,Trial 3,B
68,144,Player5,Trial 4,C
71,260,Player5,Trial 4,A
74,184,Player5,Trial 4,B
74,270,Player5,Trial 5,C
77,190,Player5,Trial 5,A
70,40,Player5,Trial 5,B
78,174,Player5,Trial 6,C
61,11,Player5,Trial 6,A
63,115,Player5,Trial 6,B
71,154,Player5,Trial 7,C
63,156,Player5,Trial 7,A
69,69,Player5,Trial 7,B
66,128,Player5,Trial 8,C
74,242,Player5,Trial 8,A
76,61,Player5,Trial 8,B
72,109,Player5,Trial 9,C
69,294,Player5,Trial 9,A
78,240,Player5,Trial 9,B
83,,Player5,Trial 10,C
75,108,Player5,Trial 10,A
68,193,Player5,Trial 10,B
