Education,convicted
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,1
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
short,0
Long,1
Long,1
Long,1
Long,1
Long,1
Long,1
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
Long,0
