Movie,Year,Actor in a Leading Role,Actress in a Leading Role,Actor in a Supporting Role,Actress in a Supporting Role,Art Direction,Cinematography,Costume Design,Directing,Film Editing,Makeup,Original Score,Original Song,Sound Editing,Sound Mixing,Visual Effects,Adapted Screenplay,Original Screenplay
TheCuriousCaseofBenjaminButton,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Frost/Nixon,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TheReader,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlumdogMillionaire,2008,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0
Atonement,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Juno,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MichaelClayton,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NoCountryforOldMen,2007,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ThereWillBeBlood,2007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Babel,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TheDeparted,2006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
LettersfromIwoJima,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LittleMissSunshine,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TheQueen,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrokebackMountain,2005,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Capote,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crash,2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"GoodNight,andGoodLuck",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munich,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheAviator,2004,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
FindingNeverland,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
