Movie,Year,GoldenGlobeNominations,GoldenGlobeWins,SAGNominations,SAGWins,BestPicture
TheCuriousCaseofBenjaminButton,2008,5,0,3,0,0
Frost/Nixon,2008,5,0,2,0,0
Milk,2008,1,0,3,1,0
TheReader,2008,4,1,1,1,0
SlumdogMillionaire,2008,4,4,2,1,1
Atonement,2007,7,2,0,0,0
Juno,2007,3,0,1,0,0
MichaelClayton,2007,4,0,3,0,0
NoCountryforOldMen,2007,5,2,3,2,1
ThereWillBeBlood,2007,2,1,1,1,0
Babel,2006,7,1,3,0,0
TheDeparted,2006,6,1,2,0,1
LettersfromIwoJima,2006,3,2,0,0,0
LittleMissSunshine,2006,2,0,3,1,0
TheQueen,2006,4,2,1,1,0
BrokebackMountain,2005,7,4,4,0,0
Capote,2005,1,1,3,1,0
Crash,2005,2,0,3,1,1
"GoodNight,andGoodLuck",2005,4,0,2,0,0
Munich,2005,2,0,0,0,0
TheAviator,2004,6,3,3,1,0
FindingNeverland,2004,5,0,3,0,0
MillionDollarBaby,2004,5,2,3,2,1
Ray,2004,2,1,1,0,0
Sideways,2004,7,2,4,1,0
LostinTranslation,2003,4,4,1,1,0
LordoftheRings:ReturnoftheKing,2003,5,3,1,0,1
MasterandCommander,2003,3,0,0,0,0
MysticRiver,2003,5,2,3,1,0
Seabiscuit,2003,2,0,2,0,0
Chicago,2002,8,3,4,2,1
GangsofNewYork,2002,5,2,1,1,0
TheHours,2002,7,2,4,0,0
LordoftheRings:TheTwoTowers,2002,2,0,1,0,0
ThePianist,2002,2,0,1,0,0
ABeautifulMind,2001,6,4,3,1,1
GosfordPark,2001,5,1,2,2,0
IntheBedroom,2001,3,1,3,0,0
LordoftheRings:FellowshipoftheRing,2001,4,0,2,1,0
MoulinRouge!,2001,6,3,1,0,0
Chocolat,2000,4,0,3,1,0
"CrouchingTiger,HiddenDragon",2000,3,2,0,0,0
ErinBrockovich,2000,4,1,2,2,0
Gladiator,2000,5,2,3,0,1
Traffic,2000,5,2,2,2,0
AmericanBeauty,1999,6,3,4,3,1
TheCiderHouseRules,1999,2,0,2,1,0
TheGreenMile,1999,1,0,1,0,0
TheInsider,1999,5,0,1,0,0
TheSixthSense,1999,2,0,1,0,0
Elizabeth,1998,3,1,1,0,0
LifeisBeautiful,1998,0,0,2,1,0
SavingPrivateRyan,1998,5,2,2,0,0
ShakespeareinLove,1998,6,3,5,1,1
TheThinRedLine,1998,0,0,0,0,0
AsGoodAsItGets,1997,6,3,3,2,0
TheFullMonty,1997,1,0,1,1,0
GoodWillHunting,1997,4,1,4,1,0
L.A.Confidential,1997,5,1,2,1,0
Titanic,1997,8,4,3,1,1
TheEnglishPatient,1996,7,2,1,0,1
Fargo,1996,4,0,2,1,0
JerryMaguire,1996,3,1,3,1,0
Secrets&Lies,1996,3,1,1,0,0
Shine,1996,5,1,3,1,0
Apollo13,1995,4,0,2,2,0
Babe,1995,2,2,0,0,0
