months,censor,personal,property,cenage
0.065708419,1,1,1,-1.675197757
0.131416838,1,0,1,-10.48286374
0.229979466,1,1,1,-4.426737798
0.295687885,1,0,1,-11.32885963
0.295687885,1,1,1,-7.164588585
0.328542094,1,1,0,-2.8689007
0.492813142,1,0,1,-6.428106724
0.624229979,0,1,1,22.45074338
0.689938398,1,1,1,-12.48697052
0.722792608,1,1,1,-9.409626231
0.788501027,1,0,1,-8.517086874
0.821355236,0,0,0,-4.352815827
0.887063655,1,1,1,-5.634129995
1.051334702,1,1,1,-4.766231296
1.084188912,1,0,1,-4.569106039
1.215605749,1,0,1,-8.596484547
1.248459959,0,1,1,19.76217391
1.281314168,1,0,1,8.19475433
1.379876797,1,0,1,-3.241248407
1.511293634,1,0,1,-7.881905492
1.609856263,1,0,1,-5.508188859
1.708418891,0,0,0,0.257724899
2.069815195,1,0,1,1.998997999
2.135523614,1,0,1,-8.440427052
2.234086242,1,1,1,-0.905861686
2.36550308,1,0,1,-7.301481125
2.39835729,1,1,1,-0.421262097
2.39835729,0,0,0,-6.053021166
2.529774127,1,1,1,-6.096826778
2.529774127,1,1,1,-8.111884958
2.562628337,1,1,1,-4.727901385
2.694045175,0,0,1,0.348073975
2.792607803,0,1,0,27.0612841
2.792607803,1,0,0,-10.84699789
2.858316222,0,0,1,-5.584848681
2.924024641,0,0,1,-9.031802822
2.98973306,1,0,1,-2.940084821
3.055441478,1,1,1,-3.758702206
3.121149897,1,1,1,-2.581426368
3.154004107,0,1,1,8.293316959
3.186858316,0,1,0,2.497286842
3.186858316,1,1,1,-2.567737114
3.219712526,1,1,1,1.435000737
3.318275154,1,0,1,-5.981837045
3.54825462,0,1,1,-1.242617333
3.811088296,1,1,1,0.301530511
4.008213552,0,0,0,-1.812090297
4.041067762,1,1,1,0.463063708
4.271047228,0,0,1,1.985308745
4.303901437,1,0,1,-3.884643342
4.665297741,1,0,1,3.663611278
4.796714579,1,0,1,-9.215238825
4.895277207,1,0,1,0.476752961
4.928131417,0,0,1,-3.432897963
4.960985626,0,0,1,10.41788917
5.190965092,1,0,1,10.89427521
5.420944559,1,0,1,-6.069448271
5.453798768,0,0,1,-2.792240878
5.453798768,1,0,1,-5.713527668
5.486652977,0,0,1,-8.207709735
5.650924025,1,1,1,-5.661508503
5.848049281,1,0,1,-7.137210078
5.848049281,1,1,1,-10.58416422
5.848049281,0,0,1,-3.723110146
6.045174538,1,0,1,0.578053441
6.242299795,1,0,1,-3.372665245
6.308008214,1,0,1,-5.601275786
6.406570842,1,0,1,-6.203602959
6.636550308,0,0,0,17.40762223
6.669404517,1,0,1,-4.054390091
6.669404517,0,0,1,-9.056443479
6.800821355,1,0,0,-1.226190228
6.800821355,1,0,1,-8.095457853
6.833675565,0,0,1,10.76012052
6.932238193,0,0,1,0.75053804
7.030800821,1,1,1,1.684145159
7.030800821,0,0,1,3.340544885
7.09650924,1,0,1,-2.285738483
7.195071869,1,0,1,-11.72858585
7.227926078,0,0,0,25.09550724
7.359342916,1,1,1,-1.097511241
7.425051335,1,0,1,-0.938715895
7.490759754,1,0,1,-8.043438688
7.622176591,0,0,0,16.36176323
7.68788501,1,0,1,-4.273418154
7.786447639,1,0,1,4.703994577
7.983572895,1,0,1,-6.912706313
8.377823409,0,0,1,-0.103671405
8.410677618,0,0,1,-4.473281262
9.067761807,1,1,1,9.72521292
9.100616016,1,1,1,-5.19881172
9.297741273,0,0,1,13.8210377
9.363449692,1,0,1,-0.459592008
9.49486653,1,0,1,-6.384301111
9.856262834,0,0,0,4.810770758
10.02053388,0,0,1,-5.499975307
10.15195072,0,0,1,6.201598957
10.31622177,0,0,1,19.60337856
10.57905544,0,1,1,3.663611278
10.94045175,1,1,1,11.02021634
11.00616016,1,0,1,-1.943507134
11.03901437,0,1,1,4.109880956
11.23613963,1,0,1,9.388457274
11.49897331,0,0,1,-4.88669673
11.66324435,0,1,1,3.597902859
11.69609856,1,0,0,16.20296788
11.76180698,1,1,1,-4.560892487
12.02464066,1,1,0,0.802557205
12.12320329,1,0,1,-0.246039646
12.25462012,1,0,1,5.16669136
12.64887064,1,0,1,-11.2138699
13.14168378,1,1,1,-6.288476334
13.17453799,1,0,1,-9.012637867
13.63449692,1,0,0,-6.395252514
13.73305955,0,0,1,2.708101353
13.76591376,0,1,1,9.328224556
13.96303901,1,1,1,-0.81551261
14.02874743,1,0,1,-4.426737798
14.09445585,1,1,1,3.168060285
14.39014374,1,1,1,6.866896699
14.68583162,0,0,1,6.749169115
14.88295688,1,0,1,1.125623598
14.91581109,1,0,1,-8.790871953
14.91581109,0,1,1,-0.358291529
15.40862423,1,1,1,-5.086559838
15.6386037,0,0,0,15.98941552
15.70431211,1,0,1,-4.785396251
15.73716632,1,0,1,-8.092720002
15.77002053,1,1,0,-11.24672411
15.96714579,0,0,1,22.39051066
16.06570842,1,1,1,9.700572263
16.16427105,1,1,1,-1.762808982
16.91991786,0,1,1,15.69920334
16.98562628,1,0,1,1.013371716
17.18275154,1,0,1,-6.62523198
17.34702259,1,0,1,-7.471227874
17.34702259,1,0,1,2.223501764
17.57700205,0,1,0,15.60611641
17.67556468,1,1,1,14.72726631
18.23408624,1,0,1,4.2632006
18.29979466,0,0,1,4.553412784
19.05544148,0,1,0,-1.888750119
19.08829569,1,1,1,-2.491077292
19.41683778,1,0,1,-0.15569057
19.4825462,1,0,1,11.60064071
20.07392197,1,0,1,-5.286422945
20.33675565,0,1,0,1.714261517
21.48665298,0,1,1,6.918915864
21.51950719,1,0,1,-8.246039646
21.94661191,0,0,1,1.831989101
22.63655031,0,1,1,4.131783762
22.70225873,0,0,0,-4.374718633
23.58932238,0,0,0,7.805979519
23.91786448,0,0,1,-0.793609804
24.83778234,1,0,0,-2.091351077
26.4476386,1,0,1,-7.939400358
26.51334702,1,0,0,4.421995946
26.87474333,1,0,1,-7.961303164
27.23613963,1,0,1,7.376136945
27.76180698,0,0,0,9.456903543
28.22176591,0,0,0,15.48291313
28.28747433,0,0,0,4.372714632
28.97741273,1,1,1,-2.255622124
29.40451745,0,1,1,1.287156794
29.60164271,0,0,0,32.86826562
32.98562628,0,1,1,-5.792925341
34.98973306,0,0,0,7.562310799
35.08829569,0,0,1,4.977779656
36,0,0,1,-9.617702891
36,0,0,1,-3.955827463
