Dow,S&P,Nasdaq,Date
10847.4,1268.8,2243.74,1/3/2006
10880.2,1273.46,2263.46,1/4/2006
10882.2,1273.48,2276.87,1/5/2006
10959.3,1285.45,2305.62,1/6/2006
11011.9,1290.15,2318.69,1/9/2006
11011.6,1289.69,2320.32,1/10/2006
11043.4,1294.18,2331.36,1/11/2006
10962.4,1286.06,2316.69,1/12/2006
10959.9,1287.61,2317.04,1/13/2006
10896.3,1283.03,2302.69,1/17/2006
10854.9,1277.93,2279.64,1/18/2006
10880.7,1285.04,2301.81,1/19/2006
10667.4,1261.49,2247.7,1/20/2006
10688.8,1263.82,2248.47,1/23/2006
10712.2,1266.86,2265.25,1/24/2006
10709.7,1264.68,2260.65,1/25/2006
10809.5,1273.83,2283,1/26/2006
10907.2,1283.72,2304.23,1/27/2006
10899.9,1285.19,2306.78,1/30/2006
10864.9,1280.08,2305.82,1/31/2006
10954,1282.46,2310.56,2/1/2006
10852,1270.84,2281.57,2/2/2006
10793.6,1264.03,2262.58,2/3/2006
10798.3,1265.02,2258.8,2/6/2006
10749.8,1254.78,2244.96,2/7/2006
10858.6,1265.65,2266.98,2/8/2006
10883.4,1263.78,2255.87,2/9/2006
10919.1,1266.99,2261.88,2/10/2006
10892.3,1262.86,2239.81,2/13/2006
11028.4,1275.53,2262.17,2/14/2006
11059,1280,2276.43,2/15/2006
11120.7,1289.38,2294.63,2/16/2006
11115.3,1287.24,2282.36,2/17/2006
11069.1,1283.03,2262.96,2/21/2006
11137.2,1292.67,2283.17,2/22/2006
11069.2,1287.79,2279.32,2/23/2006
11061.9,1289.43,2287.04,2/24/2006
11097.6,1294.12,2307.18,2/27/2006
10993.4,1280.66,2281.39,2/28/2006
11053.5,1291.24,2314.64,3/1/2006
11025.5,1289.14,2311.11,3/2/2006
11021.6,1287.23,2302.6,3/3/2006
10958.6,1278.26,2286.03,3/6/2006
10980.7,1275.88,2268.38,3/7/2006
11005.7,1278.47,2267.46,3/8/2006
10972.3,1272.23,2249.72,3/9/2006
11076.3,1281.42,2262.04,3/10/2006
11076,1284.13,2267.03,3/13/2006
11151.3,1297.48,2295.9,3/14/2006
11209.8,1303.02,2311.84,3/15/2006
11253.2,1305.33,2299.56,3/16/2006
11279.7,1307.25,2306.48,3/17/2006
11274.5,1305.08,2314.11,3/20/2006
11235.5,1297.23,2294.23,3/21/2006
11317.4,1305.04,2303.35,3/22/2006
11270.3,1301.67,2300.15,3/23/2006
11280,1302.95,2312.82,3/24/2006
11250.1,1301.61,2315.58,3/27/2006
11154.5,1293.23,2304.46,3/28/2006
11215.7,1302.89,2337.78,3/29/2006
11150.7,1300.25,2340.82,3/30/2006
11109.3,1294.87,2339.79,3/31/2006
11144.9,1297.81,2336.74,4/3/2006
11203.9,1305.93,2345.36,4/4/2006
11239.6,1311.56,2359.75,4/5/2006
11216.5,1309.04,2361.17,4/6/2006
11120,1295.5,2339.02,4/7/2006
11141.3,1296.62,2333.27,4/10/2006
11089.6,1286.57,2310.35,4/11/2006
11130,1288.12,2314.68,4/12/2006
11137.7,1289.12,2326.11,4/13/2006
11073.8,1285.33,2311.16,4/17/2006
11268.8,1307.28,2356.14,4/18/2006
11278.8,1309.93,2370.88,4/19/2006
11342.9,1311.46,2362.55,4/20/2006
11347.5,1311.28,2342.86,4/21/2006
11336.3,1308.11,2333.38,4/24/2006
11283.3,1301.74,2330.3,4/25/2006
11354.5,1305.41,2333.63,4/26/2006
11382.5,1309.72,2344.95,4/27/2006
11367.1,1310.61,2322.57,4/28/2006
11343.3,1305.19,2304.79,5/1/2006
11416.4,1313.21,2309.84,5/2/2006
11400.3,1308.12,2303.97,5/3/2006
11438.9,1312.25,2323.9,5/4/2006
11577.7,1325.76,2342.57,5/5/2006
11584.5,1324.66,2344.99,5/8/2006
11639.8,1325.14,2338.25,5/9/2006
11642.7,1322.85,2320.74,5/10/2006
11500.7,1305.92,2272.7,5/11/2006
11381,1291.24,2243.78,5/12/2006
11428.8,1294.5,2238.52,5/15/2006
11419.9,1292.08,2229.13,5/16/2006
11205.6,1270.32,2195.8,5/17/2006
11128.3,1261.81,2180.32,5/18/2006
11144.1,1267.03,2193.88,5/19/2006
11125.3,1262.07,2172.86,5/22/2006
11098.4,1256.58,2158.76,5/23/2006
11117.3,1258.57,2169.17,5/24/2006
11211.1,1272.88,2198.24,5/25/2006
11278.6,1280.16,2210.37,5/26/2006
11094.4,1259.87,2164.74,5/30/2006
11168.3,1270.09,2178.88,5/31/2006
11260.3,1285.71,2219.86,6/1/2006
11247.9,1288.22,2219.41,6/2/2006
11048.7,1265.29,2169.62,6/5/2006
11002.1,1263.85,2162.78,6/6/2006
10930.9,1256.15,2151.8,6/7/2006
10938.8,1257.93,2145.32,6/8/2006
10891.9,1252.3,2135.06,6/9/2006
10792.6,1237.44,2091.32,6/12/2006
10706.1,1223.69,2072.47,6/13/2006
10816.9,1230.04,2086,6/14/2006
11015.2,1256.16,2144.15,6/15/2006
11014.5,1251.54,2129.95,6/16/2006
10942.1,1240.13,2110.42,6/19/2006
10974.8,1240.12,2107.06,6/20/2006
11079.5,1252.2,2141.2,6/21/2006
11019.1,1245.6,2122.98,6/22/2006
10989.1,1244.5,2121.47,6/23/2006
11045.3,1250.56,2133.67,6/26/2006
10924.7,1239.2,2100.25,6/27/2006
10973.6,1246,2111.84,6/28/2006
11190.8,1272.87,2174.38,6/29/2006
11150.2,1270.2,2172.09,6/30/2006
11228,1280.19,2190.43,7/3/2006
11151.8,1270.91,2153.34,7/5/2006
11225.3,1274.08,2155.09,7/6/2006
11090.7,1265.48,2130.06,7/7/2006
11103.6,1267.34,2116.93,7/10/2006
11134.8,1272.43,2128.86,7/11/2006
11013.2,1258.6,2090.24,7/12/2006
10846.3,1242.28,2054.11,7/13/2006
10739.4,1236.2,2037.35,7/14/2006
10747.4,1234.49,2037.72,7/17/2006
10799.2,1236.86,2043.22,7/18/2006
11011.4,1259.81,2080.71,7/19/2006
10928.1,1249.13,2039.42,7/20/2006
10868.4,1240.29,2020.39,7/21/2006
11051.1,1260.91,2061.84,7/24/2006
11103.7,1268.88,2073.9,7/25/2006
11102.5,1268.4,2070.46,7/26/2006
11100.4,1263.2,2054.47,7/27/2006
11219.7,1278.55,2094.14,7/28/2006
11185.7,1276.66,2091.47,7/31/2006
11125.7,1270.92,2061.99,8/1/2006
11199.9,1277.41,2078.81,8/2/2006
11242.6,1280.27,2092.34,8/3/2006
11240.4,1279.36,2085.05,8/4/2006
11219.4,1275.77,2072.5,8/7/2006
11173.6,1271.48,2060.85,8/8/2006
11076.2,1265.95,2060.28,8/9/2006
11124.4,1271.81,2071.74,8/10/2006
11088,1266.74,2057.71,8/11/2006
11097.9,1268.21,2069.04,8/14/2006
11230.3,1285.58,2115.01,8/15/2006
11327.1,1295.43,2149.54,8/16/2006
11335,1297.48,2157.61,8/17/2006
11381.5,1302.3,2163.95,8/18/2006
11345,1297.52,2147.75,8/21/2006
11339.8,1298.82,2150.02,8/22/2006
11297.9,1292.99,2134.66,8/23/2006
11304.5,1296.06,2137.11,8/24/2006
11284.1,1295.09,2140.29,8/25/2006
11352,1301.78,2160.7,8/28/2006
11369.9,1304.28,2172.3,8/29/2006
11382.9,1305.37,2185.73,8/30/2006
11381.2,1303.82,2183.75,8/31/2006
11464.2,1311.01,2193.16,9/1/2006
11469.3,1313.25,2205.7,9/5/2006
11406.2,1300.26,2167.84,9/6/2006
11331.4,1294.02,2155.29,9/7/2006
11392.1,1298.92,2165.79,9/8/2006
11396.8,1299.54,2173.25,9/11/2006
11498.1,1313,2215.82,9/12/2006
11543.3,1318.07,2227.67,9/13/2006
11527.4,1316.28,2228.73,9/14/2006
11560.8,1319.66,2235.59,9/15/2006
11555,1321.18,2235.75,9/18/2006
11540.9,1317.64,2222.37,9/19/2006
11613.2,1325.18,2252.89,9/20/2006
11533.2,1318.03,2237.75,9/21/2006
11508.1,1314.78,2218.93,9/22/2006
11575.8,1326.37,2249.07,9/25/2006
11669.4,1336.35,2261.34,9/26/2006
11689.2,1336.59,2263.39,9/27/2006
11718.5,1338.88,2270.02,9/28/2006
11679.1,1335.85,2258.43,9/29/2006
11670.4,1331.32,2237.6,10/2/2006
11727.3,1334.11,2243.65,10/3/2006
11850.6,1350.2,2290.95,10/4/2006
11866.7,1353.22,2306.34,10/5/2006
11850.2,1349.59,2299.99,10/6/2006
11857.8,1350.66,2311.77,10/9/2006
11867.2,1353.42,2315.43,10/10/2006
