csr,Corn Yield,SoyBean Yeild,Hay Yield,Grass1 Yield,Grass2 Yield,Low Slope,High Slope,Flood Freq,Water,Surface Density,SubSoil Density,Depth,Permeability,Drainage,Organic Matter ,Organic Matter Range,ph,Kw Factor,t factor,Clay,Sand ,Topsoil,Topsoil Range
8,101,29,1.3,1.1,1.8,9,14,0,8.44,1.48,1.48,60,90,60,2,0.5,5.9,0.43,3,32,13,5,2
12,106,31,1.3,0.8,1.4,9,14,0,9.43,1.48,1.55,60,70,50,1.5,0.5,6.5,0.28,2,31,30,5,2
18,33,10,1.5,1.1,2,0,2,20,4.5,1.35,1.35,60,10,30,1.75,1.25,7.5,0.32,3,15,70,7,3
5,87,25,1.5,1.2,2.1,9,14,0,9.33,1.48,1.53,60,90,60,2.2,0.5,6.2,0.24,2,48,10,2,1
9,99,29,1.5,0.9,1.4,9,14,0,8.8,1.48,1.53,60,59,50,1.5,0.5,5.9,0.37,2,30,35,2,1
9,101,29,1.5,1.3,2.1,9,14,0,8.44,1.48,1.48,60,90,60,2,0.5,5.9,0.43,3,32,13,5,2
16,90,26,1.6,1.3,2.1,5,9,0,10.34,1.48,1.55,60,90,60,1.5,0.5,6.2,0.37,3,30,3,5,2
9,105,30,1.6,1.3,2.2,9,14,0,9.94,1.48,1.48,60,90,60,2.5,0.5,6.2,0.43,3,33,10,5,2
9,105,30,1.6,1.3,2.2,9,14,0,9.94,1.48,1.48,60,90,60,2.5,0.5,6.2,0.43,3,33,10,5,2
9,105,30,1.6,1.3,2.2,9,14,0,9.94,1.48,1.48,60,90,60,2.5,0.5,6.2,0.37,3,31,10,5,2
20,105,30,1.6,1.3,2.2,5,9,0,8.44,1.48,1.48,60,90,60,2,0.5,5.9,0.43,3,32,13,5,2
20,105,30,1.6,1.3,2.2,5,9,0,8.44,1.48,1.48,60,90,60,2,0.5,5.9,0.43,3,32,13,5,2
12,57,17,1.7,1,1.6,5,9,0,3.37,1.4,1.5,15,15,20,1.75,0.75,6.7,0.2,3,10,65,12,5
5,80,23,1.7,1.4,2.4,7,14,0,9.64,1.28,1.43,0,90,60,2,0.5,6.2,0.37,3,32,6,5,2
10,91,26,1.7,1.2,2.3,0,2,10,7.45,1.3,1.3,60,90,70,3,1,8.4,0.37,3,34,6,20,4
12,108,31,1.7,1.4,2.3,9,14,0,8.44,1.48,1.48,60,90,60,2.5,0.5,5.9,0.37,3,26,13,9,2
12,108,31,1.7,1.4,2.3,9,14,0,8.44,1.48,1.48,60,90,60,2.5,0.5,5.9,0.43,3,26,13,9,2
19,115,33,1.7,1,1.7,2,5,0,3.85,1.3,1.48,15,20,20,2,0.5,6.5,0.2,3,15,65,10,4
32,117,34,1.7,1,1.7,2,5,0,3.85,1.3,1.48,15,20,20,2,0.5,6.5,0.2,3,10,65,11,4
5,72,21,1.8,1,1.7,9,14,0,6.13,1.53,1.6,30,65,30,1.5,0.5,6.5,0.2,3,13,65,9,2
