Mileage,Price,Make,Model,Trim,Type,Cyl,Liter,Doors,Cruise,Sound,Leather
30082,40619.07227,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
24052,42677.60112,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
25199,43374.05242,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
23371,43892.46788,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
21367,44084.91421,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
21341,44130.61706,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
23751,44300.63996,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
15343,46747.67327,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
6685,49248.15897,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
2202,51154.04722,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
27544,31059.18103,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
23124,31132.21349,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
26222,31181.71516,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
17508,32501.24519,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
20910,32509.47829,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
41829,32537.18675,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
36074,32954.14134,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
18661,33220.02845,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
25421,34685.66298,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
11975,35129.34077,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
13449,35165.75937,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
25163,35338.65369,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
10555,35651.68002,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
6447,35715.76856,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
24415,35866.58271,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
21966,36077.79612,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
25339,36154.30355,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
26250,36245.15823,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
25153,36332.89469,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
22211,37215.16938,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
21593,37510.25357,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
18661,38445.89717,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
17138,38600.23956,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
16041,39307.00916,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
14095,39801.55135,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
14743,40335.73731,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
12791,40856.3909,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
8125,41378.04809,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
14452,41419.03726,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
5499,42820.32902,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
31303,38208.50102,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
31587,39072.39205,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
25717,41053.48217,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
23861,41516.42986,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
20575,41671.58314,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
18581,42377.95544,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
15104,44205.87588,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,0,1
