Series,Agricultural land,Agriculture,CO2 emissions,Exports of goods and services,Fertility rate,Fixed line and mobile phone,Foreign direct investment,GDP,GDP growth,GNI per capita,GNI,Gross capital formation,"Immunization, measles ",Imports of goods and services ,Industry,Inflation,Internet users,Life expectancy ,Long-term debt ,Merchandise trade,Military expenditure,Net barter,Official development assistance,Personal computers,Population growth,Population,Services,Short-term debt,Surface area,ln GNI,pop/area
Angola,46,8,1,78,7,15,1672000000,1.08E+10,14,610,8.89E+09,13,74,66,65,109,3,41,7.98E+09,112,2,89,421369984,2,3,14618782,27,1208400000,1246700,6.41346,11.726
Benin,30,34,0,14,6,37,18000000,2.81E+09,5,330,2.52E+09,18,78,27,14,8,7,54,1.69E+09,40,*,88,216290000,2,3,7666962,53,73600000,112620,5.79909,68.078
Botswana,46,3,2,46,3,326,403000000,5.42E+09,5,2700,4.78E+09,28,90,35,51,8,34,37,4.72E+08,79,4,97,37560000,40,0,1771008,46,16000000,581730,7.90101,3.044
Burkina Faso,39,31,0,8,7,15,15026000,3.20E+09,4,250,2.96E+09,18,64,22,18,4,2,47,1.41E+09,31,1,91,472729984,2,3,12022321,51,12900000,274000,5.52146,43.877
Burundi,91,41,0,6,7,11,1000,6.28E+08,4,100,6.66E+08,6,75,24,19,2,1,43,1.10E+09,25,8,76,172120000,1,3,6818131,41,96300000,27830,4.60517,244.992
Cameroon,20,40,0,20,5,53,1000,1.09E+10,4,640,9.82E+09,20,53,21,16,3,4,46,7.47E+09,34,1,98,657059968,6,2,15454616,44,778800000,475440,6.46147,32.506
Cape Verde,18,7,0,31,4,240,15000000,6.16E+08,5,1210,5.71E+08,21,85,68,16,2,34,70,3.85E+08,47,1,95,92190000,74,2,472372,77,25200000,4030,7.09838,117.214
Central African Republic,8,57,0,12,5,6,5644000,1.05E+09,-1,250,9.69E+08,15,35,17,22,4,1,39,9.80E+08,26,1,93,59800000,2,1,3887379,21,51700000,622980,5.52146,6.24
Chad,39,40,0,13,*,5,924060032,1.98E+09,8,200,1.74E+09,61,55,*,16,2,2,44,1.19E+09,92,1,84,228990000,1,4,8814445,45,25700000,1284000,5.29832,6.865
Comoros,66,41,0,16,4,18,430000,2.47E+08,2,400,2.24E+08,12,71,26,12,4,6,61,2.45E+08,29,*,56,32460000,7,2,563633,47,29600000,2230,5.99146,252.75
"Congo, Dem. Rep.",10,51,0,21,7,11,117000000,5.55E+09,4,90,4.56E+09,9,45,26,21,32,1,43,8.85E+09,40,*,94,1187750016,*,3,52705820,27,643100032,2344860,4.49981,22.477
