Building,Location,Count
Noyce,Faucet,1200
ARH,Faucet,1200
Cowles,Faucet,750
Yellow House,Faucet,117
Norris,Faucet,41
Dibble,Faucet,301
Noyce,Faucet,1200
ARH,Faucet,314
Cowles,Faucet,668
Yellow House,Faucet,74
Norris,Faucet,36
Dibble,Faucet,12
Noyce,Door,800
ARH,Door,800
Cowles,Door,52
Yellow House,Door,53
Norris,Door,4
Dibble,Door,49
Noyce,Door,170
ARH,Door,852
Cowles,Door,153
Yellow House,Door,720
Norris,Door,82
Dibble,Door,90
Noyce,Desk,900
ARH,Desk,280
Cowles,Desk,163
Yellow House,Desk,32
Norris,Desk,136
Dibble,Desk,451
Noyce,Desk,1200
ARH,Desk,1600
Cowles,Desk,154
Yellow House,Desk,174
Norris,Desk,322
Dibble,Desk,124
