Brand,Water,Strength
Decorator,0,2400
Decorator,0,2400
Decorator,0,2000
Decorator,0,2150
Decorator,0,2000
Decorator,0,2700
Decorator,0,2500
Decorator,0,2600
Decorator,0,2700
Decorator,0,2500
Decorator,0,2000
Decorator,0,2000
Decorator,0,2200
Decorator,0,2300
Decorator,0,1850
Decorator,0,2250
Decorator,0,1800
Decorator,0,2250
Decorator,0,2000
Decorator,0,2200
Decorator,0,2100
Decorator,0,2200
Decorator,0,2000
Decorator,0,2550
Decorator,0,2350
Decorator,0,1700
Decorator,5,875
Decorator,5,600
Decorator,5,825
Decorator,5,575
Decorator,5,625
Decorator,5,650
Decorator,5,800
Decorator,5,650
Decorator,5,700
Decorator,5,700
Decorator,5,775
Decorator,5,800
Decorator,5,625
Decorator,5,575
Decorator,5,675
Decorator,5,600
Decorator,5,750
Decorator,5,650
Decorator,5,850
Decorator,5,550
Decorator,5,775
Decorator,5,725
Decorator,5,850
Decorator,5,825
Decorator,5,600
Decorator,5,700
Decorator,15,400
Decorator,15,450
Decorator,15,325
Decorator,15,450
Decorator,15,450
Decorator,15,350
Decorator,15,450
Decorator,15,500
Decorator,15,400
Decorator,15,550
Decorator,15,550
Decorator,15,300
Decorator,15,450
Decorator,15,500
Decorator,15,525
Decorator,15,450
Decorator,15,400
Decorator,15,450
Decorator,15,625
Decorator,15,550
Decorator,15,500
Decorator,15,350
Decorator,15,500
Decorator,15,375
Decorator,15,450
Decorator,15,300
Comfort,0,3200
Comfort,0,3400
Comfort,0,2800
Comfort,0,3400
Comfort,0,3100
Comfort,0,3200
Comfort,0,2700
Comfort,0,2900
Comfort,0,3600
Comfort,0,2850
Comfort,0,3500
Comfort,0,2900
Comfort,0,3500
Comfort,0,3300
Comfort,0,3000
Comfort,0,3400
Comfort,0,3200
Comfort,0,3300
Comfort,0,3600
Comfort,0,2900
Comfort,0,3600
Comfort,0,3700
Comfort,0,2700
Comfort,0,3000
Comfort,0,3500
Comfort,0,3100
Comfort,5,2000
Comfort,5,1800
Comfort,5,1700
Comfort,5,1500
Comfort,5,1800
Comfort,5,1600
Comfort,5,1700
Comfort,5,1400
Comfort,5,1500
Comfort,5,1600
Comfort,5,2050
Comfort,5,1400
Comfort,5,1700
Comfort,5,1700
Comfort,5,1850
Comfort,5,1500
Comfort,5,2000
Comfort,5,1500
Comfort,5,1700
Comfort,5,1600
Comfort,5,1600
Comfort,5,2000
Comfort,5,1800
Comfort,5,2000
Comfort,5,1700
Comfort,5,1800
Comfort,15,375
Comfort,15,475
Comfort,15,500
Comfort,15,450
Comfort,15,300
Comfort,15,350
Comfort,15,300
Comfort,15,325
Comfort,15,350
Comfort,15,375
Comfort,15,350
Comfort,15,525
Comfort,15,475
Comfort,15,350
Comfort,15,400
Comfort,15,350
Comfort,15,375
Comfort,15,400
Comfort,15,350
Comfort,15,400
Comfort,15,400
Comfort,15,525
Comfort,15,550
Comfort,15,400
Comfort,15,450
Comfort,15,325
Bounty,0,3400
Bounty,0,2900
Bounty,0,3150
Bounty,0,2800
Bounty,0,3450
Bounty,0,3050
Bounty,0,3200
Bounty,0,2500
Bounty,0,3250
Bounty,0,2500
Bounty,0,2700
Bounty,0,2600
Bounty,0,3000
Bounty,0,3300
Bounty,0,2500
Bounty,0,3300
Bounty,0,2900
Bounty,0,3400
Bounty,0,3600
Bounty,0,3500
Bounty,0,3450
Bounty,0,3000
Bounty,0,2900
Bounty,0,2900
Bounty,0,2600
Bounty,0,3400
Bounty,5,2700
Bounty,5,2650
Bounty,5,2250
Bounty,5,2650
Bounty,5,2600
Bounty,5,2800
Bounty,5,3000
Bounty,5,2800
Bounty,5,3000
Bounty,5,2800
Bounty,5,3000
Bounty,5,3400
Bounty,5,3200
Bounty,5,3100
Bounty,5,3250
Bounty,5,2300
Bounty,5,3200
Bounty,5,2900
Bounty,5,2850
Bounty,5,2600
Bounty,5,3200
Bounty,5,2800
Bounty,5,3450
Bounty,5,3100
Bounty,5,2200
Bounty,5,3000
Bounty,15,1550
Bounty,15,1450
Bounty,15,1900
Bounty,15,2250
Bounty,15,1800
Bounty,15,1950
Bounty,15,2050
Bounty,15,2150
Bounty,15,1850
Bounty,15,2200
Bounty,15,2350
Bounty,15,2050
Bounty,15,1600
Bounty,15,1800
Bounty,15,1700
Bounty,15,1950
Bounty,15,1650
Bounty,15,1750
Bounty,15,2100
Bounty,15,1500
Bounty,15,1650
Bounty,15,1850
Bounty,15,2000
Bounty,15,1700
Bounty,15,1950
Bounty,15,1900
