Major,Student,Test,Wordlist,Distracter,Score,Student2,Student3
Math,1,1,abstract,poetry,6,1,1
Math,1,2,abstract,math,8,1,2
Math,1,3,concrete,poetry,8,1,3
Math,1,4,concrete,math,11,1,4
Math,2,5,abstract,poetry,5,2,5
Math,2,6,abstract,math,8,2,6
Math,2,7,concrete,poetry,8,2,7
Math,2,8,concrete,math,10,2,8
Math,3,9,abstract,poetry,7,3,9
Math,3,10,abstract,math,10,3,10
Math,3,11,concrete,poetry,9,3,11
Math,3,12,concrete,math,10,3,12
CS,4,13,abstract,poetry,9,1,13
CS,4,14,abstract,math,12,1,14
CS,4,15,concrete,poetry,10,1,15
CS,4,16,concrete,math,13,1,16
CS,5,17,abstract,poetry,4,2,17
CS,5,18,abstract,math,8,2,18
CS,5,19,concrete,poetry,8,2,19
CS,5,20,concrete,math,9,2,20
CS,6,21,abstract,poetry,7,3,21
CS,6,22,abstract,math,8,3,22
CS,6,23,concrete,poetry,5,3,23
CS,6,24,concrete,math,8,3,24
Hist,7,25,abstract,poetry,8,1,25
Hist,7,26,abstract,math,7,1,26
Hist,7,27,concrete,poetry,9,1,27
Hist,7,28,concrete,math,10,1,28
Hist,8,29,abstract,poetry,7,2,29
Hist,8,30,abstract,math,6,2,30
Hist,8,31,concrete,poetry,10,2,31
Hist,8,32,concrete,math,8,2,32
Hist,9,33,abstract,poetry,5,3,33
Hist,9,34,abstract,math,4,3,34
Hist,9,35,concrete,poetry,7,3,35
Hist,9,36,concrete,math,7,3,36
Eng,10,37,abstract,poetry,10,1,37
Eng,10,38,abstract,math,9,1,38
Eng,10,39,concrete,poetry,10,1,39
Eng,10,40,concrete,math,8,1,40
Eng,11,41,abstract,poetry,9,2,41
Eng,11,42,abstract,math,4,2,42
Eng,11,43,concrete,poetry,9,2,43
Eng,11,44,concrete,math,8,2,44
Eng,12,45,abstract,poetry,10,3,45
Eng,12,46,abstract,math,7,3,46
Eng,12,47,concrete,poetry,8,3,47
Eng,12,48,concrete,math,8,3,48
