Gender,HSGPA,APTests
1,4.3,10
0,4.1,1
0,3.8,1
0,3.9,3
0,3.9,3
0,3.8,1
0,4.23,4
0,3.2,1
0,4,2
1,4.1,4
1,4.2,2
0,3.6,0
0,3.33,0
0,3.9,5
1,3.92,1
1,3.9,7
1,3.99,2
0,3.5,5
1,3.8,2
0,2.5,0
1,4.1,5
1,3.5,0
1,3.5,0
0,3.9,0
1,3.45,1
0,4,3
0,3.8,1
1,3.9,3
1,4,0
0,3.7,2
0,3.8,0
0,3.6,0
0,3.5,1
0,4.6,4
0,4.09,2
0,3.5,2
0,3.6,1
1,3.5,0
0,3.86,3
0,4.4,0
1,4,1
1,4.1,0
0,4.62,7
0,3.6,1
1,3.9,0
1,3.7,0
1,4.2,4
1,3.98,0
0,4.01,3
0,3.8,1
0,3.71,4
0,3.9,2
1,3.9,0
1,4,2
0,3.98,2
0,4,0
1,3.8,2
1,3.8,0
0,3.8,1
0,4.23,2
0,3.98,0
0,4.1,2
0,4.5,9
0,4,3
1,3.7,2
0,3.98,3
0,4.2,2
1,3.8,2
1,4.5,1
0,3.57,2
0,3.89,1
0,3.98,4
0,4,2
1,3.9,2
1,4.33,0
0,4.33,4
1,3.5,3
1,4.3,5
0,4.1,4
0,4.4,2
1,3.3,2
0,4.55,4
1,3.8,3
1,3.4,3
0,3.64,4
0,3.83,5
0,4.2,4
0,3.4,3
0,3.45,3
0,3.8,1
1,3.79,3
1,3,5
0,4.2,3
1,3.76,3
0,3.8,0
1,3.8,1
0,3.8,3
0,3.9,2
0,3.33,1
1,4,4
