year,cat1,cat2,cat3,cat4,cat5
1950,1,2,5,2,1
1951,2,1,3,1,1
1952,1,2,2,1,0
1953,1,1,3,1,0
1954,3,3,1,1,0
1955,1,2,4,1,1
1956,2,0,1,1,0
1957,1,0,0,2,0
1958,2,0,2,2,1
1959,5,0,1,1,0
1960,1,1,0,0,2
1961,1,0,3,2,2
1962,0,2,1,0,0
1963,2,3,1,1,0
1964,0,0,2,4,0
1965,2,1,0,1,0
1966,4,0,2,1,0
1967,4,1,0,0,1
1968,5,0,0,0,0
1969,5,2,4,0,1
1970,2,1,2,0,0
1971,4,1,0,0,1
1972,2,1,0,0,0
1973,3,0,1,0,0
1974,1,1,1,1,0
1975,1,2,2,1,0
1976,2,2,2,0,0
1977,4,0,0,0,1
1978,2,1,0,2,0
1979,3,1,0,1,1
1980,4,3,1,0,1
1981,3,1,2,1,0
1982,1,0,0,1,0
1983,2,0,1,0,0
1984,3,1,0,1,0
1985,4,0,2,1,0
1986,3,1,0,0,0
1987,2,0,1,0,0
1988,2,0,0,2,1
1989,3,2,0,1,1
1990,5,2,1,0,0
1991,1,1,1,1,0
1992,1,2,0,0,1
1993,2,1,1,0,0
1994,2,1,0,0,0
1995,4,2,2,3,0
1996,3,0,4,2,0
1997,2,0,1,0,0
1998,3,4,1,1,1
1999,0,3,0,5,0
2000,4,1,1,2,0
2001,4,1,2,2,0
2002,1,1,1,1,0
2003,3,1,1,1,1
2004,2,1,2,3,1
2005,7,1,2,1,4
2006,3,0,2,0,0
2007,4,0,0,0,2
2008,2,1,1,4,0
