age,cases,pop,,Town,Age,Age Midpoint,Cases,Population
20,1,172675,,"Minneapolis-St Paul, Minnesota",15-24,20,1,172675
30,16,146207,,"Minneapolis-St Paul, Minnesota",25-34,30,16,123065
40,30,121374,,"Minneapolis-St Paul, Minnesota",35-44,40,30,96216
50,71,111353,,"Minneapolis-St Paul, Minnesota",45-54,50,71,92051
60,102,83004,,"Minneapolis-St Paul, Minnesota",55-64,60,102,72159
70,130,55932,,"Minneapolis-St Paul, Minnesota",65-74,70,130,54722
80,133,29007,,"Minneapolis-St Paul, Minnesota",75-84,80,133,32185
90,40,7538,,"Minneapolis-St Paul, Minnesota",85+,90,40,8328
,,,,"Dallas-Fort Worth, Texas",15-24,20,4,181343
,,,,"Dallas-Fort Worth, Texas",25-34,30,38,146207
,,,,"Dallas-Fort Worth, Texas",35-44,40,119,121374
,,,,"Dallas-Fort Worth, Texas",45-54,50,221,111353
,,,,"Dallas-Fort Worth, Texas",55-64,60,259,83004
,,,,"Dallas-Fort Worth, Texas",65-74,70,310,55932
,,,,"Dallas-Fort Worth, Texas",75-84,80,226,29007
,,,,"Dallas-Fort Worth, Texas",85+,90,65,7583
